stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,52.71,724.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.07,0,0,0,0,0,0,0,0,0
  5-6,6.13,465.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,7.89,0,0,0,36.8,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,165.61,7.89,0,0,92,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,12.59,0,25.18,0,0,0,31.47,0,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,232.88,6.29,0,0,94.41,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,4,24,1,0,11,0,0,0,2,1,2,0,0,1,0,0,0,0,10,0,0,9,204,1,3,6,7,0,2,29,0,23,85,0,0,0,0,0
 24-34,0,0,0.82,9.03,22.98,0.82,0,67.31,0,0.82,0,6.57,3.28,0,0.82,0,0,0,0,0,0,62.39,0,0,16.42,836.45,0.82,9.85,11.49,0.82,0,1.64,0.82,0,4.93,176.48,0,0,1.64,0,0
 36-46,0,0,0,0.81,6.45,1.61,0,100.71,0,0,1.61,13.7,1.61,0,0,0,0,0.81,0,0.81,3.22,45.12,0,1.61,13.7,1519.49,0,12.89,1.61,0,0,4.03,0,0,0,236.06,0,0,0.81,0,0
 48-58,0.57,0,0,0,8.03,0,0,358.63,1.15,0.57,3.44,43.61,1.15,0,0,0.57,1.15,0,1.72,1.15,5.16,57.95,0,4.02,12.05,2109.31,1.15,5.74,1.15,0,0,4.02,0,0.57,0,305.26,0,0,2.87,0,3.44
 60-70,0,0,0,0,8.83,1.96,0,344.51,0,2.94,2.94,33.37,0.98,0,0,0,0.98,0,0.98,0,0,38.28,0.98,0,3.93,2034.69,0,6.87,1.96,0,0.98,0.98,0,0,0,223.79,0,0.98,0.98,0,0.98
 72-82,0,0,1.96,0,10.8,2.94,0,287.63,0,0,4.91,43.19,0.98,0,0,2.94,2.94,0.98,0,0,0.98,43.19,0,1.96,10.8,1262.42,0,5.89,6.87,0,0,0,0,0,0,101.11,0.98,1.96,2.94,0,1.96
 84-94,0,0,2.12,0,9.56,1.06,1.06,196.48,0,1.06,2.12,26.55,2.12,0,0,2.12,4.25,3.19,2.12,0,0,35.05,0,2.12,15.93,561.82,0,1.06,1.06,0,0,2.12,0,2.12,0,71.16,1.06,0,2.12,1.06,1.06
 96-106,0,0,3.28,0,14.21,3.28,1.09,128.96,0,1.09,3.28,18.58,1.09,0,0,2.19,5.46,0,1.09,0,0,29.51,0,1.09,7.65,422.93,0,3.28,3.28,0,0,4.37,0,0,0,25.14,0,0,1.09,2.19,2.19
108-118,0,0,0,0,16.85,3.06,6.89,109.53,0,0,3.83,10.72,3.06,0,0,2.3,2.3,1.53,0,0.77,0.77,16.85,0,1.53,8.43,490.98,0,5.36,0.77,0,0,3.83,0,0,0,11.49,0.77,0.77,2.3,0,0.77
120,0,0,0,0,15.68,0,1.96,119.55,0,1.96,7.84,45.08,5.88,0,0,3.92,0,0,3.92,0,0,31.36,0,0,17.64,446.83,0,7.84,1.96,0,0,1.96,0,3.92,0,1.96,0,0,0,1.96,0
