stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,immune,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,171.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0
  5-6,0,104.2,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,12.26,0,0,0,0
  7-9,2.63,2.63,2.63,0,0,5.26,0,0,0,0,0,39.43,2.63,0,0,7.89,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,44.06,0,0,0,6.29,0,0,0,0,0
 14-21,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0
 24-34,0,0,0,0,0,3.28,0,0,0,3.28,0,12.31,0,0,0.82,0,0,0.82,0,0,0
 36-46,0,0,0,0.81,0,1.61,0.81,0,0,0,0,13.7,0,0,0,0,0,0,0,0,0.81
 48-58,0,0,0,0,0,2.3,1.15,0,0,1.72,0,2.3,0,0,0,0,0,1.15,0,0.57,0
 60-70,0,0,0,0.98,0,1.96,1.96,0.98,0,1.96,0,6.87,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0.98,0,0,0,0.98,0,2.94,0,0,0,0,0.98,0,0.98,0,0
 84-94,0,0,0,0,0,1.06,0,0,0,0,0,0,0,0,0,0,0,1.06,0,0,0
 96-106,0,0,0,0,0,1.09,1.09,0,1.09,0,0,0,0,0,1.09,0,0,0,0,0,0
108-118,0,0,0,0.77,0,0,0.77,0,0,0,0.77,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,1.96,0,1.96,0,1.96,1.96,0,1.96,0,1.96,0,0,0,0,0,0,0
