stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,heart,immune,ionocyte,liver,mesenchyme,mural_cell,muscle,neural,notochord,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,55.2,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,9.44,0,0,0,0,0,0,0,0,0,0,0,0,3.15,12.59,3.15,267.49,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,1,0,4,8,10,0,1,1,0,0,0,0,123,0,105,121,2,4,0,1,334,0,3,88,41,0,0,3,0
 24-34,0,0,1.64,0,3.28,0.82,2.46,0,0,0.82,0,0,247.08,0,50.07,49.25,0,0,0,0,0.82,0,0,18.06,13.95,0,0,0,0
 36-46,0,0,0.81,0,0,1.61,1.61,0,0.81,0.81,0,0,331.13,0,57.2,39.48,0,0,0.81,0.81,0.81,0,0,0,12.09,0,0,0,0
 48-58,0,0,0,0,7.46,0,4.02,0,0.57,0.57,0,0,247.31,0.57,29.84,18.94,0,0,0,0,0,0,0,0,6.89,0,0,1.15,0.57
 60-70,0,0,0.98,0,15.7,1.96,0,0,0,0.98,0,0,229.68,1.96,16.69,18.65,0,0,2.94,0,0,0,0,0,4.91,0,0,0,0
 72-82,0,0,0,0,41.23,0.98,1.96,0,0,0.98,0,0,229.71,0.98,12.76,10.8,0,0,2.94,1.96,0,0,0,0,0,0.98,0,0,0.98
 84-94,0,0,0,0,28.68,0,2.12,0,0,5.31,0,0,192.23,1.06,12.74,6.37,0,0,2.12,0,0,0,0,0,2.12,0,2.12,0,0
 96-106,0,0,1.09,1.09,15.3,0,2.19,1.09,0,0,0,1.09,171.58,0,16.39,13.11,0,0,1.09,0,0,1.09,0,0,0,0,0,1.09,0
108-118,0,0,0,0,16.85,0,0.77,0,0,1.53,0,0.77,121.02,0.77,9.19,14.55,0,0,4.6,0,0,0,0,0,0,0,1.53,0,0
120,0,0,1.96,1.96,3.92,0,0,0,0,0,1.96,0,94.07,0,5.88,17.64,0,0,1.96,0,0,0,0,0,0,0,0,0,0
