stage,axial,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,18,0,0,0,0,1,4,0,0,0,0
 24-34,0,0,1.64,0,0,2.46,0,0,0,20.52,0,0,0,0,0,0,0,0,0,98.5,0,0,0,0,2.46,56.64,0,0,0,0
 36-46,0,0,0.81,0,0,3.22,0,0,0,45.92,0,0,0,0,0,0,0,0,0.81,167.58,0,0,0,0,0,138.58,0,0,0,0
 48-58,0,0.57,0,0,0,8.03,0,0,0,83.78,0,0,0,0,0,0,3.44,0,0.57,83.2,0,0,0,0.57,0,89.51,0,0,0,0
 60-70,0,0,0.98,0,0,10.8,0,0,0,201.21,0,0,0,0,0,0,8.83,0.98,0.98,84.41,0,0,1.96,0,0.98,51.04,0,0,0,0
 72-82,0,0,2.94,0,0.98,45.16,0,0.98,0.98,476.11,0,0,0,0.98,0,0,17.67,1.96,2.94,88.35,0,0,1.96,0,0,27.49,0.98,0.98,0.98,0
 84-94,0,0,2.12,1.06,0,33.99,0,1.06,0,297.37,0,0,0,0,0,0,11.68,0,2.12,64.78,0,1.06,1.06,0,0,25.49,1.06,0,2.12,1.06
 96-106,0,0,5.46,0,0,46.99,0,0,0,441.51,0,0,0,0,1.09,2.19,17.49,1.09,6.56,92.89,1.09,0,1.09,1.09,1.09,36.06,0,0,0,0
108-118,0,0,3.83,0,0,17.62,1.53,0,0,409.79,2.3,0.77,0,0,0,0.77,29.87,2.3,9.19,85.79,1.53,0,4.6,0,0.77,19.92,0,0,0,0
120,1.96,0,7.84,0,0,47.03,0,0,0,456.63,0,1.96,1.96,0,1.96,0,15.68,1.96,13.72,92.11,1.96,0,1.96,0,0,15.68,0,0,0,0
