stage,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,ionocyte,lateral.line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,taste,vasculature,xanthophores
 14-21,2,0,0,0,0,0,0,0,0,1,0,4,0,1,0,1,0,2,4,2,0,0,0
 24-34,1.64,0,2.46,0,0,0,0,0.82,0,3.28,0,17.24,0,0,0,0,0.82,0,0.82,8.21,0,0,0
 36-46,0,0,0.81,0,0,0,0,0,0,0.81,0.81,25.78,0.81,0,0,0,0,0,0,7.25,0,0,0
 48-58,0,0.57,6.89,0.57,0.57,2.87,0,0,1.15,3.44,0,30.99,0,0,0.57,0,0,0,0,4.59,0,1.72,0.57
 60-70,3.93,0,12.76,0.98,0,3.93,0,0,0,5.89,0,37.3,0,0,0.98,0,0,0,0,3.93,0.98,0.98,0
 72-82,0.98,0,10.8,0,0.98,4.91,0,0,0,8.83,1.96,36.32,0,0,0,0,0,0,0,4.91,7.85,0,0
 84-94,0,0,6.37,0,0,2.12,1.06,0,0,4.25,0,14.87,0,0,0,0,1.06,0,0,2.12,11.68,0,0
 96-106,1.09,0,7.65,0,0,3.28,0,0,0,6.56,1.09,15.3,0,0,0,0,0,0,0,1.09,26.23,0,0
108-118,1.53,0,5.36,0,0,1.53,0,0,0,4.6,0.77,11.49,0,0.77,0,0,0.77,0,0,0,19.92,0,0
120,1.96,0,13.72,3.92,0,0,0,0,0,0,0,13.72,0,1.96,0,0,0,0,0,1.96,23.52,0,0
