stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,1,4,10,209,60,0,89,0,0,0,22,8,0,6,0,1,1,1,1,5,86,0,0,57,665,18,2,5,8,0,13,5,56,9,22,80,205,0,0,19,0,2
 24-34,0,4.1,1.64,59.92,12.31,0,91.12,0,2.46,1.64,22.16,1.64,0,9.03,6.57,6.57,2.46,5.75,1.64,8.21,123.95,0.82,0,45.97,1025.25,8.21,24.63,9.03,0,0,41.86,0,0,3.28,4.93,9.85,264.32,0,0,64.03,0,9.85
 36-46,0,1.61,0,17.72,5.64,0,173.22,0.81,3.22,4.03,52.37,3.22,0,9.67,12.89,3.22,0,4.03,2.42,15.31,142.6,1.61,1.61,43.51,1241.54,2.42,21.75,4.83,0,0.81,37.87,2.42,0,2.42,0.81,0,269.09,0,0,40.28,0,12.09
 48-58,0.57,1.72,0,19.51,6.89,0,222.64,1.72,3.44,6.31,94.1,1.72,1.15,5.74,14.92,1.72,1.72,3.44,2.3,20.08,194.52,1.72,9.75,29.26,1070.15,3.44,7.46,11.48,0.57,1.15,34.43,0,0,0.57,0.57,0,216.9,0,0.57,21.8,0,24.67
 60-70,0,1.96,0,31.41,8.83,0,306.23,4.91,5.89,6.87,142.32,2.94,0.98,4.91,18.65,3.93,6.87,5.89,1.96,10.8,215.93,0.98,4.91,24.54,1276.96,1.96,13.74,10.8,0,1.96,47.11,0,0,6.87,4.91,0,177.66,0,6.87,28.46,1.96,26.5
 72-82,0,6.87,0,46.14,47.12,0.98,412.3,3.93,8.83,11.78,157.07,8.83,0.98,9.82,32.39,7.85,7.85,5.89,2.94,8.83,339.65,6.87,5.89,23.56,1196.65,2.94,28.47,24.54,0,3.93,35.34,0,0,4.91,0,0,83.44,1.96,12.76,70.68,11.78,27.49
 84-94,0,5.31,0,78.59,22.3,0,282.5,3.19,16.99,8.5,109.39,12.74,1.06,5.31,54.16,13.81,20.18,7.43,5.31,35.05,202.85,9.56,12.74,29.74,583.06,2.12,18.05,28.68,0,4.25,134.88,0,0,8.5,0,0,44.61,6.37,14.87,57.35,9.56,22.3
 96-106,0,6.56,1.09,64.48,42.62,1.09,237.15,6.56,7.65,3.28,102.73,19.67,0,12.02,55.74,21.86,8.74,9.84,7.65,10.93,182.51,9.84,9.84,18.58,513.64,2.19,26.23,28.41,0,7.65,102.73,0,0,9.84,3.28,0,26.23,5.46,9.84,72.13,20.76,19.67
108-118,0,6.13,0,81.96,23.74,4.6,212.94,6.13,22.98,9.19,98.04,25.28,0,4.6,58.21,9.96,22.21,7.66,7.66,20.68,175.41,5.36,6.13,21.45,667.92,4.6,27.57,27.57,0,5.36,81.96,0,0,8.43,1.53,0,17.62,16.09,6.13,57.45,9.96,20.68
120,0,0,1.96,56.83,29.4,0,164.62,3.92,25.48,3.92,74.47,21.56,0,3.92,64.67,13.72,9.8,7.84,3.92,1.96,158.74,1.96,3.92,13.72,556.58,5.88,13.72,27.44,0,1.96,90.15,1.96,0,11.76,1.96,0,25.48,5.88,3.92,43.12,3.92,7.84
