stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,18.4,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,9.44,0,0,0,31.47,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0.82,0,0,4.1,1.64,0,0,0.82,0,0.82,0,0,4.1,0,0.82,0,0,0,0,0,0
 36-46,0,0,0,0,0,1.61,0,0.81,1.61,0,0,0,0,0,0,0,29.81,0,0.81,4.03,7.25,0,0,0,0,0,0,0,2.42,0,0,0.81,0,0.81,0,0,0
 48-58,0,0,1.72,0,0,10.33,0,0.57,2.87,1.15,0,0,0,0,0,0.57,138.86,0,1.15,12.05,14.92,0,0,0,0,0.57,0,0,0.57,0,0,1.72,0,0,0,0,0
 60-70,0,0,3.93,0,0,18.65,0,0,22.58,1.96,0,0.98,0,0.98,0.98,3.93,364.14,0,0,18.65,34.35,0,0.98,0,0,3.93,0,0,0.98,0,0,5.89,0,0.98,0,0.98,0
 72-82,0,0,10.8,0.98,0,55.95,0,2.94,41.23,3.93,0,0.98,0.98,0.98,0,15.71,608.63,0,2.94,34.36,46.14,0.98,0,0,0,5.89,0,0,6.87,0,0,1.96,0,7.85,0.98,0.98,0
 84-94,0,0,19.12,0,0,78.59,1.06,2.12,32.92,7.43,1.06,0,0,2.12,1.06,46.73,403.57,0,2.12,15.93,30.8,0,0,0,0,2.12,0,1.06,8.5,0,0,1.06,2.12,7.43,0,5.31,1.06
 96-106,0,1.09,32.79,1.09,2.19,92.89,3.28,5.46,34.97,12.02,0,4.37,0,4.37,0,91.8,480.85,1.09,2.19,13.11,46.99,3.28,2.19,1.09,0,15.3,3.28,0,10.93,2.19,0,1.09,3.28,8.74,2.19,4.37,0
108-118,0,0,19.15,1.53,0.77,84.26,0.77,0,25.28,12.26,0,1.53,1.53,1.53,0.77,118.72,392.17,0,1.53,16.09,37.53,3.06,0.77,0.77,0,7.66,2.3,0,20.68,0,0,1.53,8.43,8.43,0.77,2.3,0
120,0,0,23.52,0,0,29.4,1.96,3.92,19.6,7.84,0,0,0,1.96,0,66.63,315.53,0,3.92,19.6,21.56,1.96,0,0,0,9.8,3.92,0,15.68,0,0,1.96,1.96,1.96,0,0,0
