stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,glial,liver,mesenchyme,muscle,neural,notochord,olfactory,periderm,spinal.cord
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,3,1,0,1,1
 24-34,0,0,0,0,0,0,0,0,0.82,4.1,0,0,0,0
 36-46,0,0,0,0,0,0.81,0,0,0,6.45,0,0.81,0,1.61
 48-58,0,0,0,0.57,0,0,0,0,0,1.15,0,0,0.57,0
 60-70,0,0.98,0,0.98,0,0,0,0.98,0,2.94,0,0,0,0
 72-82,0,0,0,3.93,0,1.96,0,0.98,0,0.98,0,0,0,0.98
 84-94,0,0,1.06,0,1.06,0,0,0,0,1.06,0,0,0,0
 96-106,0,0,0,0,0,0,0,1.09,0,2.19,0,0,0,0
108-118,0,0,0,0,0,0,0.77,0,0,0,0,0,0,0
120,0,0,0,0,0,1.96,0,0,0,1.96,0,0,0,0
