stage,axial,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,2.63,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,2.63,7.89,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,22.03,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,6,2,0,0,0,0,0,4,0,0,1,0,0,0,0,2,0,3,21,0,0,0,0,0,2,1,5,10,25,0,0,1,0,0
 24-34,0,5.75,0.82,0,0,1.64,3.28,0.82,4.1,0,0,0.82,0,0,0,0,3.28,0,6.57,120.67,0,3.28,0,0,0.82,0,4.93,11.49,4.1,31.19,0,0,0.82,0,0.82
 36-46,0,2.42,0,0.81,0,9.67,7.25,0.81,1.61,0,0,0.81,0,0,0,0,3.22,0,8.06,297.29,0,7.25,0,0,0.81,0,4.83,14.5,2.42,54.79,0,0,0,0,0
 48-58,0,1.15,1.72,0,0,46.48,12.62,1.72,4.02,0,0,0.57,0,0.57,0,0,5.74,0,2.3,386.17,0,8.03,0,0,1.72,0,1.72,6.31,0,73.45,0,0,0,0,1.15
 60-70,0,0.98,0.98,0,0,215.93,9.82,0.98,7.85,0.98,0,0,0,0,0.98,0,8.83,0,3.93,491.74,0.98,6.87,0.98,0,0.98,0,0.98,5.89,0,80.48,0.98,0,0,0,0
 72-82,0,8.83,2.94,0,0,256.21,1.96,0.98,9.82,2.94,0,0,0,0.98,0,0,6.87,0.98,3.93,390.7,0,8.83,0.98,0,0,0,0.98,0.98,0,35.34,0,0,0,0.98,0
 84-94,0,7.43,1.06,0,0,145.5,3.19,0,9.56,6.37,0,0,1.06,0,0,1.06,4.25,0,4.25,193.29,0,8.5,1.06,0,1.06,0,7.43,2.12,0,18.05,0,0,0,3.19,0
 96-106,0,5.46,1.09,1.09,0,132.23,3.28,0,10.93,3.28,0,0,0,0,1.09,0,6.56,0,2.19,124.58,0,8.74,0,0,1.09,0,1.09,0,0,5.46,0,0,0,3.28,0
108-118,0,3.06,0.77,0.77,0.77,81.19,2.3,0,5.36,6.13,0,0,0,0,0,3.06,4.6,0,6.89,129.45,0,1.53,0,0,0,0,5.36,2.3,0,3.83,0,0.77,1.53,1.53,1.53
120,0,3.92,0,0,1.96,62.71,19.6,0,7.84,3.92,0,0,0,0,1.96,0,1.96,0,1.96,150.9,0,1.96,0,0,0,0,9.8,0,0,3.92,0,0,0,3.92,0
