stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,4,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,10,0,1,0,1,5,5,3,0,0,0,0
 24-34,0,0,0.82,0,4.1,0,0,0,0,0,0,0,0,0,0,5.75,0,0.82,0.82,0,0,0.82,0,0,32.01,0,22.16,20.52,0,1.64,0,0,67.31,0,8.21,0,0,0,0
 36-46,0,0,0,0,4.03,0,1.61,0,2.42,0,0,0,0,0,0,2.42,0,0,0,1.61,2.42,0.81,0,0.81,63.65,0,21.75,12.09,0,0.81,0,0,37.87,0,8.86,0,0,0,0
 48-58,0,0,0.57,0,1.72,0,3.44,0,0.57,0,1.15,0,0,0,0.57,1.15,0,1.72,0,0,2.87,1.15,0,0,30.99,0,8.61,11.48,0,1.15,0,0,14.92,0,6.89,0,1.15,0,0.57
 60-70,0,0,0,0,2.94,0,29.45,0,0.98,0.98,0.98,0.98,0.98,0,0.98,0.98,0,3.93,1.96,1.96,6.87,0.98,0.98,0,34.35,0,17.67,9.82,0,0.98,0,0,15.7,0,6.87,1.96,0,0,0
 72-82,0,0,2.94,0,3.93,0.98,55.95,0,1.96,0,3.93,9.82,0,0,0,5.89,0,2.94,0.98,3.93,13.74,1.96,0.98,0,59.88,0,25.52,29.45,0,0,0,0,20.61,0,7.85,7.85,1.96,0,0
 84-94,0,0,8.5,0,6.37,0,67.97,0,0,0,4.25,21.24,0,0,0,9.56,0,1.06,0,3.19,11.68,2.12,0,1.06,35.05,1.06,27.61,45.67,0,3.19,0,0,53.1,0,3.19,18.05,1.06,0,0
 96-106,0,0,4.37,2.19,10.93,0,91.8,2.19,0,0,2.19,44.81,0,0,1.09,4.37,2.19,3.28,0,0,5.46,1.09,0,1.09,37.16,0,27.32,38.25,0,3.28,0,0,46.99,0,3.28,36.06,0,1.09,0
108-118,0,0,2.3,3.83,7.66,0.77,101.87,0,0.77,0,1.53,47.49,0,0.77,2.3,4.6,0,5.36,1.53,0,6.13,1.53,0,0.77,19.92,0,24.51,34.47,0,3.83,0,0,38.3,0,2.3,44.43,0.77,0.77,0.77
120,0,0,0,0,7.84,0,115.63,0,1.96,0,7.84,27.44,0,0,0,3.92,0,3.92,1.96,1.96,0,1.96,0,0,23.52,0,21.56,25.48,0,1.96,1.96,0,33.32,0,0,23.52,0,0,0
