stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0,22.03,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,4,0,0,1,0,0,2,0,0,0,0,0,1,0,0,2,13,1,0,1,0,1,4,6,0,0,0,0
 24-34,0,0.82,0.82,0,0,5.75,0.82,0,0,0,0,0.82,0,0,0.82,0,0,2.46,27.91,0,1.64,0,0,0,1.64,4.1,0,0,0.82,0
 36-46,0,0,0.81,0.81,0,4.03,0,0,1.61,0,0,0,0,0,4.03,0,0,1.61,26.59,0,0.81,0,0,0.81,0,5.64,0,0,2.42,0
 48-58,0,0,1.15,0,0,12.62,0.57,0,6.31,0,0,0,0,0.57,4.02,0.57,0,0,26.97,0,0.57,0.57,0,0.57,0,6.31,0,0,1.15,0.57
 60-70,0,0,0.98,0,0,13.74,0,0,2.94,0,0,0,0,0,2.94,0,0.98,0,15.7,0,0,0,0,2.94,0,1.96,0,0,0,0
 72-82,0.98,0,0.98,0.98,0,17.67,0,0,3.93,0,0,0,0,0.98,7.85,0,0.98,0.98,40.25,0,0,1.96,0,0,0,0.98,0.98,0,2.94,0
 84-94,0,0,0,0,0,4.25,0,0,0,0,0,0,0,0,2.12,1.06,0,1.06,3.19,0,0,0,0,1.06,0,0,0,1.06,1.06,0
 96-106,0,0,2.19,0,1.09,6.56,0,0,1.09,0,0,0,0,0,9.84,0,0,2.19,2.19,0,0,0,0,0,0,0,0,0,2.19,0
108-118,0,0,0.77,0.77,0,3.83,0.77,0.77,0,1.53,0,1.53,0.77,0,5.36,0,0,2.3,5.36,0,0,0,0,1.53,0,0,0,1.53,1.53,0
120,0,0,5.88,1.96,0,0,1.96,0,0,0,0,1.96,0,0,0,0,0,1.96,19.6,1.96,0,0,0,0,0,1.96,0,0,3.92,0
