stage,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,immune,ionocyte,iridophores,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature
 14-21,0,2,0,1,0,0,0,0,0,1,0,4,0,0,3,12,0,0,0,0,1,0,0,2,6,0,0
 24-34,0,1.64,0,4.93,0,0,0,0,0,0.82,0,1.64,0,0,0.82,17.24,0,0,0,1.64,0,0,0,0,3.28,0,0
 36-46,0,0,0,9.67,0,0,2.42,0,0,0,0,2.42,0,0,4.03,20.14,0,0,0,0,0,0,0,0,5.64,0,0
 48-58,0,0.57,0,12.62,0.57,0,0.57,0,0,0,0.57,0.57,0.57,0,0,18.94,0,0,0,0.57,0,0.57,0,0,5.74,0,1.15
 60-70,0,0,0,17.67,0,1.96,1.96,0,0,0,0,4.91,0,0.98,0,35.33,0,0.98,0,0,0,0,0,0,0.98,0,0
 72-82,0,1.96,0.98,20.61,0,0,7.85,0,0.98,0,0,4.91,0.98,0,0,38.28,0.98,0,0,0,0,0,0.98,0,0.98,0.98,1.96
 84-94,1.06,3.19,0,20.18,0,0,1.06,2.12,1.06,0,2.12,3.19,1.06,0,1.06,21.24,1.06,1.06,0,3.19,0,0,0,0,1.06,0,1.06
 96-106,0,1.09,0,16.39,0,0,1.09,1.09,0,0,2.19,4.37,2.19,0,0,34.97,2.19,1.09,0,3.28,0,0,0,0,0,0,1.09
108-118,0,0,0,16.09,0,0,4.6,1.53,0,0.77,2.3,3.83,0,0,0,45.96,0,0.77,0.77,0,0,0,0,0,1.53,0,1.53
120,0,1.96,0,11.76,1.96,0,7.84,0,0,0,0,5.88,0,0,0,33.32,0,0,0,5.88,0,0,0,0,0,0,0
