stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,hatching.gland,lateral.line,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,spinal.cord,vasculature
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0
  5-6,6.13,18.39,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0
  7-9,0,0,0,2.63,0,0,5.26,0,0,0,0,0,0,0,0,23.66,0,0,0,5.26,0,2.63,0,0
 10-12,0,3.15,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,50.35,0,0,0,9.44,0,0,0,0
 14-21,0,0,0,0,4,1,1,0,0,0,0,0,2,0,1,6,1,1,0,0,3,0,1,2
 24-34,0,0,0,0,0,0,0.82,0,0,0,0,0,2.46,0,0.82,6.57,0,0,1.64,0,0.82,0,1.64,3.28
 36-46,0,0,0,0,0,0,1.61,0,0.81,0,0.81,0,0,0,0,7.25,0,0.81,0,0,0,0,2.42,1.61
 48-58,0,0,0,0,0,0,0.57,0,0,0,0,0,1.72,0,0.57,1.72,0,0,2.3,0,0.57,0,0.57,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,0.98,0.98,0,0,0.98,0,0,0,0,0.98,0,0,0.98
 72-82,0,0,0,0,0,0,0,0,0,0,2.94,0,3.93,0,0.98,0.98,0,0,0.98,0,2.94,0,0,0
 84-94,0,0,0,0,0,0,0,1.06,0,0,0,0,2.12,0,0,0,0,1.06,1.06,0,4.25,0,0,0
 96-106,0,0,1.09,0,2.19,2.19,0,0,0,0,0,0,3.28,0,1.09,3.28,0,0,0,0,6.56,0,0,1.09
108-118,0,0,0,0.77,0,0,2.3,0,0.77,0,0,0,2.3,0.77,0,3.06,0,0,0.77,0,3.83,0,0,0
120,0,0,0,0,1.96,0,1.96,0,0,0,0,0,0,0,0,5.88,0,0,0,0,7.84,0,0,0
