stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.91,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,2.63,0,34.17,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,9.44,0,0,0,0,0,3.15,0,0,0,0,0,50.35,3.15,0,0,3.15,0,15.73,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,3,1,0,10,0,0,0,0,0,7,0,0,0,0,0,96,2,3,1,0,0,0,0,7
 24-34,0,0,0,9.03,3.28,0,2.46,0,0.82,0.82,0.82,0.82,0,0,0,6.57,1.64,0,5.75,0,7.39,4.1,0,2.46,40.22,0.82,0,0,0,0,424.38,14.78,0,9.03,0,0,2.46,0,14.78
 36-46,0,0,0,7.25,2.42,0,4.03,0,3.22,0.81,0,0,0,0,0.81,4.03,0,1.61,0.81,4.83,13.7,3.22,0.81,0.81,17.72,0.81,2.42,0.81,0,0,308.57,7.25,0,12.09,0,0,0,0,12.89
 48-58,0,0,0,4.59,1.15,0,6.31,0,4.02,2.3,3.44,0,1.15,0,0,0.57,2.3,0.57,0,2.3,8.03,2.87,0,0.57,18.36,0,2.3,0,0,0,180.17,2.87,0,6.89,0,0,1.72,0,22.38
 60-70,0,0,0,9.82,1.96,0,15.7,0,5.89,1.96,7.85,4.91,0,0,1.96,1.96,8.83,2.94,5.89,3.93,14.72,5.89,1.96,0,13.74,0,4.91,0,0,0,165.88,4.91,0,3.93,0,0,1.96,0.98,9.82
 72-82,0,0.98,0,11.78,5.89,0,9.82,0,3.93,7.85,5.89,12.76,0,0.98,0,0.98,8.83,1.96,15.71,0.98,32.39,2.94,0.98,1.96,17.67,0,3.93,0.98,0,0,98.17,12.76,0,0,0,0.98,7.85,2.94,6.87
 84-94,0,1.06,0,14.87,9.56,6.37,9.56,0,4.25,3.19,5.31,22.3,0,1.06,0,5.31,5.31,2.12,38.23,3.19,25.49,6.37,1.06,0,12.74,0,6.37,1.06,0,0,243.21,32.92,0,0,1.06,0,3.19,1.06,11.68
 96-106,0,1.09,0,8.74,3.28,1.09,10.93,0,3.28,0,10.93,44.81,0,0,1.09,3.28,2.19,3.28,54.64,3.28,21.86,2.19,3.28,0,26.23,0,3.28,0,0,1.09,119.12,52.46,0,1.09,0,2.19,7.65,3.28,5.46
108-118,0,1.53,0,16.85,5.36,20.68,10.72,0.77,3.83,4.6,4.6,61.28,0,0,0.77,3.83,9.19,0,87.32,2.3,25.28,5.36,1.53,0.77,18.38,0.77,5.36,0.77,0,0,76.6,40.6,0,0.77,2.3,2.3,0.77,0,3.06
120,0,0,0,23.52,17.64,9.8,15.68,1.96,3.92,1.96,13.72,76.43,0,0,0,7.84,3.92,1.96,92.11,0,50.95,7.84,0,1.96,37.24,0,11.76,0,0,0,78.39,45.08,0,1.96,1.96,0,3.92,5.88,3.92
