stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,250.38,4559.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.6,0,0,0,0,0,0,0,0,0
  5-6,98.07,974.61,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,30.65,6.13,0,0,0,30.65,0,0,0,0,0,0,0,0,0
  7-9,15.77,5.26,0,18.4,0,0,10.51,0,0,0,0,10.51,0,0,0,0,0,0,0,0,89.38,5.26,0,0,89.38,2.63,7.89,0,0,0,0,0,0,0,0
 10-12,0,0,0,9.44,0,12.59,12.59,0,0,0,0,6.29,0,0,0,0,0,0,0,0,56.65,6.29,0,0,107,0,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,1,2,5,16,1,0,0,1,1,1,0,2,0,0,4,0,0,2,8,0,0,0,0,0,2,3,0,0,4,6,0,0,0
 24-34,0,0,0.82,0,1.64,4.1,0,0,0,0,0,0,0.82,10.67,0.82,1.64,6.57,0,0,1.64,6.57,0.82,0.82,0.82,0,0,0,0,0,0.82,0,5.75,0,2.46,0
 36-46,0,0,0,0,2.42,0,0.81,0.81,1.61,0,0,0,0,16.11,0,0.81,8.06,0,0,1.61,8.06,0,0,0,0,0,0,0,0,0,0,3.22,0,0.81,0
 48-58,0,0,0,0,2.3,0.57,1.72,0,5.16,1.15,0,0,0,20.08,0,0.57,5.74,0,0.57,1.15,4.59,0,1.72,1.15,0,0,0,0,0,0.57,0,4.02,0,0,0
 60-70,0,0,0,0,2.94,0.98,1.96,0,0.98,2.94,0,0.98,0,34.35,0.98,0,17.67,0.98,1.96,1.96,7.85,0,0.98,0,0,0.98,0,0,0,0,0,0.98,0,1.96,0.98
 72-82,0,0,0.98,0,0.98,0.98,0.98,0,5.89,0,0,0.98,0,39.27,0,0,4.91,0.98,0,0.98,8.83,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0.98
 84-94,0,0,0,0,5.31,0,3.19,0,2.12,0,0,0,1.06,61.6,2.12,0,7.43,0,0,0,3.19,0,1.06,0,0,0,0,0,0,1.06,0,0,1.06,4.25,0
 96-106,0,0,0,0,4.37,1.09,0,0,0,0,1.09,0,0,66.66,0,0,5.46,0,1.09,0,4.37,0,1.09,0,0,1.09,0,0,0,0,0,1.09,1.09,2.19,4.37
108-118,0,0,0,0,3.83,0,1.53,0,1.53,0.77,0,0,0,71.23,0,0,3.06,0,0,0,9.96,0,0.77,0.77,0,0,0,0,0,0,0,0,0,3.83,2.3
120,0,0,0,0,7.84,0,1.96,0,0,0,1.96,0,0,72.51,0,1.96,3.92,0,0,0,5.88,1.96,0,0,0,0,0,0,0,0,0,0,0,7.84,0
