stage,blastomeres,epidermis,erythrocytes,eye,fin.mesenchyme,glial,hatching.gland,iridophores,mesenchyme,mural.cell,neural,notochord,paraxial.mesoderm,periderm,pronephros,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,79.69,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,13.14,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,78.67,0,9.44,3.15,6.29,0,0,0,0,0
 24-34,0,0,0,1.64,0,0,0,0,0,0,8.21,0,0,0.82,0,0,0,0,0,0
 36-46,0,0,0,0.81,0,0,0,0,0,0,4.03,0,0,0,0,0,0.81,0,0,0.81
 48-58,0,0.57,0,3.44,0.57,0.57,0,0,0,0,4.02,0.57,0,0,0,0,0,0,0,0
 60-70,0,0,0,4.91,0,0,0,0.98,0.98,0,3.93,0,0,0.98,0,0.98,0,0,0.98,0
 72-82,0,0,0,4.91,0,0,0,0,1.96,0,9.82,0,0,0.98,0,0,0,0.98,0,0
 84-94,0,0,0,0,0,1.06,0,0,0,0,1.06,0,0,0,0,0,0,0,0,0
 96-106,0,1.09,1.09,1.09,0,0,0,0,0,0,1.09,0,0,1.09,0,0,1.09,0,0,0
108-118,0,0.77,0,0.77,0,0,0,0,0.77,0.77,2.3,0,0,2.3,0,0,0,0,0,0
120,0,1.96,0,1.96,0,3.92,0,0,3.92,0,11.76,0,0,5.88,0,0,0,0,0,0
