stage,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,immune,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,pericytes,periderm,pronephros,spinal_cord,taste,vasculature,visceral_smooth_muscle
 14-21,1,2,1,0,0,0,1,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0
 24-34,0,0.82,0,4.1,0,0,0,0,0,0,0,3.28,0,0.82,15.6,0,0,4.1,0,2.46,0,0,0
 36-46,0,0,0,0.81,0,0.81,0,0,0,0,0,1.61,0,0.81,6.45,0.81,0,0,0,1.61,0,0.81,0
 48-58,0,0.57,0,2.3,0,0,0,0,0,0,0,4.02,0,0,6.89,0,0,1.72,0,2.87,0,0,0
 60-70,0,1.96,0,0.98,0,0,0,0,0,0,0,5.89,0,0,4.91,0,0,0.98,0.98,0.98,0,0,0
 72-82,0,0,0,1.96,0,0.98,0,0,0,0,0,1.96,0,0,7.85,0,0,1.96,0,0.98,0,0,0
 84-94,0,0,0,2.12,0,0,0,0,0,0,0,6.37,0,0,9.56,0,0,1.06,1.06,1.06,0,0,0
 96-106,0,0,0,5.46,0,1.09,0,0,0,1.09,1.09,1.09,0,0,4.37,0,0,2.19,0,1.09,0,2.19,1.09
108-118,0,0.77,0,1.53,0.77,0.77,0,0.77,0,0.77,0,1.53,0,0.77,4.6,0,0.77,0.77,0,0,0.77,1.53,0
120,0,3.92,0,1.96,0,0,1.96,0,1.96,0,0,0,1.96,0,3.92,1.96,0,0,0,0,0,0,0
