stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,iridophores,lateral.line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,slow.muscle,spinal.cord,vasculature,xanthophores
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,12.59,3.15,0,0,12.59,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,6,0,0,0,0,0,0,1,0,5,0,0
 24-34,0,0,0,0.82,0,0,0,0,0,0.82,0,0,0,0,0,0,5.75,0,0,0,0,1.64,0,0,0.82,4.1,0.82,0
 36-46,0,0,0,0,0,0,1.61,0,0,0.81,0.81,0,0.81,0,1.61,0,8.06,0,0.81,0,0,0,0,0,0,1.61,0,0
 48-58,0,0,0,0,0,0,1.15,0,0,0.57,0,0,0,0,0,0,5.74,0,0,0,0,0,0,0,0,1.15,0,0
 60-70,0,0,0,0,0,0,2.94,0,0,1.96,0,0.98,0.98,0,0.98,0,8.83,0,0.98,0.98,0,0,0,0,0,1.96,0,0
 72-82,0,0,0.98,0,1.96,2.94,2.94,0.98,0,4.91,0,0,0,0,1.96,0,28.47,0,2.94,0,0,0,0,0,0.98,0.98,0.98,0.98
 84-94,0,0,0,0,1.06,2.12,3.19,0,1.06,1.06,0,0,0,0,0,0,11.68,0,2.12,2.12,0,0,0,0,0,3.19,1.06,0
 96-106,0,0,0,0,0,0,1.09,0,0,0,0,0,1.09,0,0,0,5.46,0,3.28,3.28,0,1.09,0,0,0,0,0,0
108-118,0,0,0,0,0.77,3.83,2.3,0,0,3.06,0,0,0,0.77,1.53,0,11.49,0,3.83,1.53,0,1.53,0,0,0,0,1.53,0
120,0,0,0,0,0,1.96,1.96,0,0,0,0,0,0,1.96,0,0,11.76,0,1.96,0,0,0,0,0,0,0,0,0
