stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,171.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,6.13,79.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,18.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.91,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,47,1,8,0,0,0,0,1,0,0,0,0,0,0,0,35,0,0,15,41,0,0,0,3,0,0,0,0,7,0,0,0,0,0
 24-34,0,0,0,29.55,0,9.85,0,9.03,0.82,0,0,0,0,0,0.82,0,0.82,0,43.51,0.82,0,11.49,53.36,1.64,0,0.82,0,0,0.82,0,2.46,10.67,0,0,1.64,0,0.82
 36-46,0,0,0,12.89,0,37.87,0,3.22,0,2.42,0,4.83,0,0,2.42,0,0,0,55.59,0,0.81,13.7,66.06,0,0,1.61,0,0,0.81,0.81,0,17.72,0,0,1.61,0,0
 48-58,0,0,0,10.9,0,46.48,0,5.16,1.72,6.31,0,1.15,0,0,1.15,0.57,0,0.57,90.66,0,1.15,10.33,14.35,0.57,0,2.87,0,0,0.57,0,0,3.44,0,0.57,0,0,1.15
 60-70,0,0,0,14.72,0,110.91,0,4.91,0.98,9.82,0,0.98,0,0,0,1.96,0,0,90.3,0,6.87,7.85,19.63,0,0,1.96,0,0.98,0,0,0,5.89,0,1.96,2.94,0,0
 72-82,0,0,0,7.85,0,48.1,0,0,0.98,13.74,0,0,0,0,0.98,1.96,0.98,0,72.64,0,6.87,4.91,13.74,0.98,0,1.96,0,0.98,0,0,0,0.98,0.98,1.96,6.87,3.93,0.98
 84-94,0,0,0,28.68,0,79.65,1.06,4.25,3.19,12.74,1.06,1.06,0,0,0,0,0,0,60.54,0,12.74,3.19,14.87,0,0,3.19,0,1.06,1.06,0,0,0,1.06,3.19,1.06,5.31,3.19
 96-106,0,0,0,10.93,0,37.16,0,4.37,1.09,5.46,1.09,0,0,0,2.19,0,0,0,32.79,0,4.37,3.28,8.74,0,0,4.37,0,4.37,0,0,0,0,1.09,1.09,0,4.37,0
108-118,0,0,0,16.09,0,26.81,0,9.19,0.77,6.13,1.53,0,1.53,0.77,2.3,0,0,0,25.28,0,3.06,4.6,8.43,0,0.77,2.3,0,0.77,0,0,0,0,0.77,1.53,0.77,5.36,1.53
120,0,0,0,15.68,0,7.84,0,3.92,0,5.88,1.96,0,1.96,1.96,3.92,0,0,0,13.72,0,1.96,1.96,1.96,0,0,5.88,0,3.92,0,0,0,0,3.92,0,1.96,3.92,1.96
