stage,blastomeres,epidermis,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,olfactory,otic,periderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,visceral.smooth.muscle
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0
 14-21,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0
 24-34,0,1.64,0,1.64,2.46,0,0.82,0,0,0,0,0,0,4.93,0,0.82,16.42,0,0.82,0,0,0,0,5.75,0,0
 36-46,0,0.81,0,2.42,0,0,4.03,0,0,0,0,0,0.81,3.22,0,4.83,20.95,0.81,0.81,0,0,0,0,3.22,0,0
 48-58,0,0,0,2.3,0.57,0.57,1.72,0,0.57,0,0,0,0,8.03,0,0,12.05,0,0.57,0.57,0,0,0,2.87,0,0
 60-70,0,1.96,0,5.89,1.96,0,1.96,1.96,0,0.98,0,0,0,18.65,0.98,2.94,7.85,0,0,0,0,0,0,0,0,0
 72-82,0,0.98,0,7.85,0.98,0.98,5.89,0,0,0,0,0,0,12.76,1.96,0.98,16.69,0,0,0,0,0.98,0,0.98,0,1.96
 84-94,0,2.12,0,3.19,1.06,0,5.31,2.12,0,1.06,0,1.06,0,7.43,0,1.06,6.37,0,1.06,2.12,0,0,0,1.06,0,1.06
 96-106,0,0,0,3.28,1.09,0,2.19,1.09,0,0,1.09,0,0,7.65,1.09,0,2.19,0,2.19,1.09,0,0,0,0,1.09,0
108-118,0,1.53,0.77,0.77,0,0,6.13,0,0,0,0,0,0,3.06,0,0.77,3.83,0,0.77,0,0.77,0,0,0,0,0.77
120,0,1.96,0,7.84,0,0,3.92,7.84,0,0,0,1.96,0,7.84,0,0,7.84,0,1.96,1.96,0,0,0,0,0,1.96
