stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,1,0,0,87,0,2,0,0,0,0,0,2,0,0,54,0,0,0,0,0
 24-34,0,0,2.46,4.1,0,0,28.73,0,0,2.46,0,0,0,0.82,0,0,1.64,0,4.1,0,0,382.52,0.82,7.39,4.1,0,0,0.82,0,0,0,0,121.49,0,0,0,0,0
 36-46,0,0,0,2.42,0,0,81.37,0.81,0,17.72,0,0,0,0,0,0.81,0,3.22,4.83,0.81,1.61,636.48,0,8.06,2.42,0,0,0.81,0,0,0.81,0,156.3,0,0,0,0,0.81
 48-58,0,0,0,3.44,0,0,149.76,0,1.72,36.72,0,0.57,0,0.57,0.57,4.59,0,1.15,5.74,2.3,0.57,721.85,0.57,8.61,4.02,0,0,0,0,0,0.57,0,157.22,0,0,1.15,0,1.72
 60-70,0,0,0,4.91,0,0,244.4,0.98,0,65.76,0,0,0,0,0,6.87,0,0.98,21.59,0.98,0,922.63,0,7.85,5.89,0,0.98,0.98,0,0,0.98,0.98,142.32,0,0.98,0,0.98,0.98
 72-82,0,0,0,4.91,4.91,0,427.02,0,0.98,134.49,1.96,0,0.98,0,0,11.78,0,0.98,62.83,1.96,3.93,961.05,0,13.74,13.74,0,0,1.96,0,0,2.94,0,95.22,0,0.98,2.94,0,0.98
 84-94,0,0,3.19,9.56,3.19,1.06,317.55,0,0,75.4,0,0,4.25,1.06,1.06,4.25,0,1.06,57.35,1.06,3.19,478.98,0,13.81,8.5,0,0,3.19,0,0,0,0,61.6,0,0,1.06,2.12,0
 96-106,0,0,0,13.11,2.19,0,289.6,1.09,1.09,108.19,2.19,0,2.19,2.19,0,17.49,0,3.28,40.44,0,0,496.15,0,16.39,17.49,0,1.09,5.46,1.09,0,1.09,0,40.44,3.28,0,5.46,1.09,0
108-118,0,0,3.06,11.49,1.53,0,229.79,1.53,1.53,73.53,0.77,0,3.06,0.77,3.06,15.32,2.3,3.06,23.74,1.53,0.77,487.15,0.77,12.26,10.72,0,0,3.06,0,0,0,0.77,25.28,0.77,0,2.3,0.77,0.77
120,1.96,0,0,7.84,1.96,0,194.02,0,0,70.55,1.96,1.96,1.96,0,0,9.8,1.96,1.96,17.64,0,1.96,544.82,0,7.84,13.72,0,0,5.88,1.96,0,1.96,0,11.76,0,0,0,1.96,1.96
