stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,3,0,0,0,0
 24-34,0,0,0,0,0,0.82,0,0,0,0,0,0.82,0,0.82,0,0.82,0,0,18.06,0,0,0,0,0.82,0.82,0.82,5.75,0,0,2.46,0
 36-46,0,0,0,0,0,2.42,0,0,0,0,0,0,0,0,0,2.42,0.81,0,23.36,0,0,0,0,1.61,0,0,9.67,0,0,1.61,0
 48-58,0,0.57,1.15,0,0,8.61,0,0.57,0,2.3,0,1.15,0,0,2.3,4.59,0,0,24.1,0,0.57,0,0,1.72,0.57,0,7.46,0,0.57,0.57,0
 60-70,0,0.98,3.93,0.98,0,21.59,0,0,0.98,4.91,0,0.98,0.98,0,1.96,4.91,0,0.98,29.45,0,0,0,0,0,0,0,6.87,0,0,0.98,0
 72-82,0,1.96,1.96,11.78,0,31.41,0,0.98,0.98,11.78,0,3.93,0,0,1.96,19.63,0,0.98,52.03,0,0,1.96,0,0.98,0,0,1.96,0,0.98,2.94,0
 84-94,1.06,2.12,3.19,7.43,0,16.99,0,1.06,0,3.19,0,7.43,0,0,2.12,5.31,0,1.06,30.8,0,1.06,3.19,0,4.25,1.06,0,1.06,0,0,1.06,1.06
 96-106,0,2.19,2.19,6.56,0,18.58,0,0,0,2.19,1.09,6.56,2.19,1.09,3.28,4.37,0,0,28.41,0,4.37,3.28,0,3.28,0,0,2.19,0,0,1.09,0
108-118,0,8.43,2.3,5.36,0.77,16.85,0.77,0.77,0,4.6,1.53,6.13,0.77,0.77,3.83,6.13,0.77,1.53,27.57,0,0.77,2.3,0.77,5.36,0,0,1.53,0.77,0,0.77,0
120,0,3.92,1.96,5.88,0,13.72,0,0,0,0,3.92,1.96,1.96,0,3.92,5.88,0,0,17.64,0,0,0,0,1.96,1.96,0,1.96,0,0,0,1.96
