stage,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,2,5,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,4,28,0,0,0,0,0,4,0,5,7,0,0,0,0
 24-34,0.82,1.64,0,1.64,0,0.82,0,0,0.82,0,3.28,0.82,0.82,0,8.21,0,0,0,59.92,0,0.82,0,0,1.64,0.82,2.46,5.75,4.93,0,0,0,0
 36-46,0,1.61,0,1.61,0,0,2.42,0,0.81,0,1.61,0,0.81,0,3.22,0,0,0.81,45.12,0,0.81,0,0,0.81,0,1.61,0,7.25,0,0,0,0
 48-58,0,1.15,0,5.16,0.57,0,1.72,0,1.72,0.57,1.15,1.15,0,0,20.08,0,0.57,1.15,66.56,0.57,0.57,0,0,0.57,0,1.72,0,9.75,0,0,0,0
 60-70,0,1.96,0,17.67,0,0.98,3.93,0,0.98,0.98,0.98,0,0,0,15.7,0,1.96,2.94,49.08,0.98,0,0.98,0,0,0,1.96,0,3.93,0.98,0.98,0,0
 72-82,0,0.98,0,14.72,0,0,4.91,0.98,1.96,4.91,1.96,0,0.98,0,26.5,0.98,0.98,0.98,65.77,0,0,0,0,2.94,0,0.98,0,3.93,0.98,2.94,0,0
 84-94,1.06,1.06,0,9.56,0,1.06,5.31,0,2.12,8.5,2.12,0,0,0,14.87,2.12,1.06,4.25,37.17,0,0,0,0,1.06,0,6.37,0,0,0,0,0,0
 96-106,0,1.09,1.09,13.11,0,1.09,4.37,0,1.09,4.37,0,0,2.19,0,19.67,0,2.19,1.09,32.79,0,1.09,0,1.09,1.09,0,2.19,0,0,3.28,0,1.09,1.09
108-118,0,1.53,0,8.43,0.77,0,6.89,0.77,0.77,6.13,2.3,0,0.77,1.53,19.92,0,0.77,4.6,35.23,0,0.77,0.77,0,2.3,0,0.77,0,0.77,0,0,1.53,0
120,0,1.96,0,5.88,0,0,17.64,0,0,1.96,0,0,1.96,0,5.88,0,0,0,45.08,0,0,0,3.92,0,0,0,0,3.92,0,0,0,0
