stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,fast_muscle,glial,gut,heart,iridophores,lateral_line,mesenchyme,mucous,mural_cell,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,vasculature
  3-4,26.36,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,5.26,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,28.32,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,3,0,0,32,0,0,0,0,3,0,0,11,0,3,0,0,23,0,1,84,0
 24-34,0,0,0,0,13.13,0.82,0,27.09,0,0,0,0,0,0,0,10.67,5.75,0,0,0,13.95,0,1.64,58.28,0.82
 36-46,0,0,0,0,5.64,0,0,11.28,0,0,0,0,0.81,0,0,6.45,5.64,1.61,0,0.81,5.64,0,0,39.48,0
 48-58,0,0,0,0,0.57,1.72,0,14.92,0,0.57,0,0,1.15,0,0.57,5.74,4.59,1.72,0,1.15,6.31,0,0,23.53,0
 60-70,0,0,0,0,0.98,0.98,0,13.74,0,0,0,1.96,1.96,0,0,8.83,14.72,1.96,0,1.96,2.94,0,0,20.61,0
 72-82,0,0,0,0,0,4.91,0,29.45,0,0,0.98,0.98,0,0,0,2.94,20.61,7.85,0,0,1.96,0,0,10.8,0
 84-94,0,0,1.06,1.06,2.12,1.06,0,9.56,0,0,0,4.25,0,1.06,0,7.43,11.68,4.25,0,0,4.25,0,0,11.68,0
 96-106,0,0,0,0,0,4.37,1.09,14.21,1.09,0,0,6.56,1.09,0,0,1.09,9.84,4.37,0,1.09,2.19,0,0,12.02,0
108-118,0,0,0,0,0,3.06,0.77,9.19,0.77,0,0.77,3.83,2.3,0,0,1.53,13.79,6.13,0,0.77,0,0.77,0,4.6,0
120,0,0,0,1.96,0,0,0,1.96,0,0,0,0,1.96,0,0,3.92,7.84,1.96,0,0,3.92,0,0,5.88,0
