stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,otic,periderm,pgc,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,5,8,0,0,0,1,57,0,2,1,0,0
 24-34,0,0,0.82,2.46,0,0,2.46,0,0,0,0,0,1.64,0,0,0,2.46,0,0,14.78,31.19,0,0,0,0,55.82,0.82,5.75,3.28,0,0
 36-46,0,0,1.61,1.61,0,0,0.81,0,0,0.81,0,0,1.61,0,0,0,11.28,0,0,8.06,34.64,0,0,0,0,18.53,0.81,7.25,3.22,0,0
 48-58,0,0,0,1.72,0.57,0,0.57,0.57,0,0,0,0,0.57,0,0,0,9.75,0,0,5.74,19.51,0,0.57,0,0,15.49,0,3.44,2.87,0,0
 60-70,0,0,0,2.94,0,0,3.93,1.96,0.98,0.98,1.96,0,0.98,0,0,0,14.72,0.98,0,6.87,10.8,0,0.98,0,0,12.76,0,0.98,4.91,0,0
 72-82,0,0,1.96,5.89,0,0,6.87,0.98,0,0.98,13.74,3.93,1.96,0,0,0,24.54,0,0,9.82,47.12,2.94,0,0,0,1.96,0,1.96,6.87,0.98,0
 84-94,0,0,1.06,4.25,0,0,9.56,2.12,0,0,4.25,0,0,0,2.12,0,11.68,0,0,6.37,29.74,0,2.12,0,0,7.43,0,4.25,4.25,0,0
 96-106,0,0,2.19,13.11,0,1.09,8.74,1.09,1.09,0,10.93,5.46,2.19,1.09,0,1.09,20.76,0,0,14.21,29.51,2.19,2.19,1.09,0,6.56,0,1.09,9.84,0,1.09
108-118,0,0,1.53,6.13,0,0,8.43,2.3,1.53,0.77,7.66,2.3,0.77,0,0,0,19.92,0.77,0,13.79,23.74,1.53,0,0,0,6.13,0,0,5.36,0,0
120,0,0,0,15.68,0,0,5.88,1.96,1.96,0,5.88,1.96,0,0,0,0,11.76,0,1.96,17.64,19.6,1.96,1.96,0,0,5.88,0,0,7.84,0,0
