stage,blastomeres,epidermis,eye,glial,gut,immune,ionocyte,mesenchyme,neural,otic,paraxial_mesoderm,spinal_cord
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,2.63,0
 14-21,0,1,0,0,0,0,0,1,8,0,0,0
 24-34,0,0,0.82,0,0,0,0.82,0,18.06,0,0,0.82
 36-46,0,0,0,0.81,0,0,0,0,3.22,0,0,0
 48-58,0,0,0,0.57,0,0,0,0,1.72,0,0,0
 60-70,0,0,0,0,0,0,0,0,0.98,1.96,0,0
 72-82,0,0.98,0.98,0.98,0,0,0,0,1.96,0,0,0
 84-94,0,0,0,0,0,0,0,1.06,0,0,0,0
 96-106,0,1.09,0,0,1.09,0,0,0,2.19,0,0,0
108-118,0,0,0,0,0,1.53,0,1.53,0,0,0,0
120,0,0,0,1.96,0,3.92,0,0,0,0,0,0
