stage,axial,blastomeres,endoderm,eye,hatching.gland,neural,notochord,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,vasculature
  3-4,0,197.67,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,165.5,6.13,0,6.13,0,0,0,6.13,12.26,0,0,0
  7-9,7.89,5.26,2.63,5.26,2.63,115.66,2.63,0,52.57,0,0,0,0
 10-12,0,0,6.29,12.59,6.29,75.53,6.29,0,44.06,0,3.15,0,0
 14-21,0,0,0,0,0,1,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0.57,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0.98,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0.98,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,1.09,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0,0,0,0.77
120,0,0,0,0,0,1.96,0,0,0,0,0,1.96,0
