stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,13.18,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,6.13,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,13.14,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,6.29,0,0,12.59,0,0,0,0,0,0
 14-21,0,0,0,1,8,0,0,0,0,0,0,0,0,0,30,0,0,0,4,1,0,1,5,0,0,0,0,8,1,0,2,0,0,0,0,0
 24-34,0,0,0,1.64,1.64,0,0.82,0.82,0,0,0,0,0,0,102.61,0,0,0,4.1,16.42,0,0,12.31,0,2.46,0,0,10.67,0,2.46,0,1.64,0,0,1.64,0
 36-46,0,0,0,2.42,0,0,0.81,0,0,1.61,0,0,0,0,44.31,0,0,0,3.22,8.06,0.81,0,12.09,0,1.61,0,0,16.11,0,2.42,0,0.81,0,0,0,0
 48-58,0,0,0,3.44,0,0,1.72,0.57,0,0,0,0.57,0,0,13.77,0,0.57,0,0.57,1.72,0,0,15.49,0,2.3,0,0,48.2,0,0.57,0,2.3,0,0,0.57,0
 60-70,0,0,0,3.93,0,0,8.83,2.94,0,4.91,0,0,0,0,22.58,0.98,0,0,1.96,4.91,0,0,16.69,0,10.8,0,0,42.21,0,2.94,0,0.98,1.96,0,0,0.98
 72-82,0,0,0,16.69,0.98,0,10.8,3.93,0,1.96,0,0.98,0.98,0.98,34.36,0,0,0,9.82,6.87,0,0.98,18.65,0,11.78,0.98,0,123.69,0,1.96,0,3.93,2.94,0.98,0,1.96
 84-94,0,0,0,29.74,1.06,0,1.06,15.93,0,0,3.19,5.31,0,0,69.03,0,1.06,0,4.25,11.68,1.06,0,9.56,0,46.73,0,0,302.68,0,5.31,0,1.06,6.37,0,0,0
 96-106,0,0,0,67.76,2.19,0,9.84,25.14,0,4.37,7.65,2.19,0,2.19,87.43,0,3.28,1.09,9.84,13.11,2.19,1.09,21.86,0,84.15,2.19,0,562.82,0,2.19,0,0,2.19,0,0,1.09
108-118,0,0,0,99.58,0.77,0,5.36,32.94,0.77,2.3,7.66,0,0,3.06,65.11,0.77,0.77,0,3.83,14.55,0,0,9.96,0,62.04,0.77,0,289.53,0,5.36,0,0.77,6.13,0,1.53,0
120,0,0,0,113.67,0,1.96,1.96,37.24,0,1.96,3.92,0,0,1.96,33.32,0,1.96,0,3.92,7.84,0,1.96,15.68,1.96,29.4,0,0,262.61,0,0,0,0,7.84,0,0,0
