stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,10.51,0,0,0,5.26,0,0,0,0,0,0,0
 10-12,0,0,9.44,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,40.91,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,1,0,1,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0.82,1.64,0.82,4.93,0,0,0,0,0.82,0,1.64,1.64,0,0,0
 36-46,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0.81,0,7.25,0,0,0,0,0.81,0,0,3.22,0,0.81,0
 48-58,0,0,0,0.57,0,0,1.15,0,0,0,0,0,0.57,0,0,0,0,1.72,0.57,2.3,0,0,0,0,0,0,0,0.57,0,1.15,0
 60-70,0,0,0,0,0,0,0,0.98,0,0,0,0,0.98,0,0,0,0,4.91,0,1.96,0,0,0,0,1.96,0.98,0,0,0,0,0.98
 72-82,0,0,0,0,0,0,1.96,0,0,0.98,0.98,0,0.98,0,0,0,0,2.94,0.98,2.94,0,0.98,0,0,0.98,0,0,0,0.98,0,0
 84-94,0,0,0,0,0,1.06,1.06,0,1.06,2.12,1.06,0,0,1.06,1.06,1.06,0,5.31,0,4.25,0,1.06,0,0,3.19,1.06,0,0,1.06,0,0
 96-106,0,0,0,1.09,0,0,0,0,0,0,2.19,0,0,1.09,0,0,0,2.19,0,3.28,0,0,1.09,0,4.37,0,0,1.09,0,1.09,0
108-118,0,0,0,2.3,0.77,1.53,1.53,0,0,1.53,3.83,0,0,0,0.77,0,0.77,4.6,0.77,4.6,0,0.77,0.77,0,1.53,0,0,0,0,0.77,0
120,0,0,0,0,0,0,0,0,0,1.96,0,0,0,1.96,0,0,0,0,1.96,5.88,1.96,0,0,0,15.68,0,0,0,0,0,0
