stage,epidermis,erythrocytes,eye,glial,gut,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature
 10-12,0,0,0,0,0,0,0,0,0,9.44,0,0,0,3.15,0,0,0,0
 14-21,1,1,0,0,0,0,0,1,1,12,0,0,2,0,0,1,2,0
 24-34,0,0,0.82,0,0,0,0,0,0,5.75,0,0.82,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,1.61,0,0,0,0,0,0,0,0.81
 48-58,0.57,0,1.15,0,0,0,0,0.57,0,0,0,0,0,0,0.57,0,0.57,1.72
 60-70,0,0,0,0,0,0.98,0,0,0,0.98,1.96,0,0,0,0,0,0.98,0.98
 72-82,0,0,0,0.98,0,0,0,0.98,0,0,0,0,0,0,0,0,0,8.83
 84-94,0,0,1.06,0,0,0,1.06,5.31,1.06,0,0,0,0,0,0,0,0,10.62
 96-106,0,0,1.09,0,0,0,0,1.09,0,1.09,0,0,0,0,0,0,0,15.3
108-118,0,0,0.77,0.77,0.77,0,0,0.77,0,0,0,0,0,0,0,0,0,13.79
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.88
