stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,39.53,197.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.42,0,0,0,0,0,0,0,0,0
  5-6,49.04,226.8,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.78,0,0,0,6.13,0,85.81,0,0,0,0,0,0,0,0,0
  7-9,7.89,0,0,304.93,0,2.63,0,5.26,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,252.36,2.63,0,0,31.54,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,78.67,0,6.29,0,15.73,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,232.88,6.29,0,0,22.03,0,6.29,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,3,7,13,1,0,0,0,0,0,1,5,0,0,5,0,0,0,34,0,0,0,0,0,2,2,0,1,1,0,59,3,105,0,0,39,0,0,0,0
 24-34,0,0,1.64,4.93,0.82,0.82,0,4.1,0,0,0.82,1.64,2.46,0,0.82,32.83,1.64,0.82,1.64,41.04,0.82,7.39,0.82,0.82,1.64,27.09,1.64,0,0.82,0,0,192.08,0,84.55,1.64,0,9.85,0,0,0.82,0
 36-46,0,0,0.81,0,4.83,0,0,5.64,0.81,2.42,0,0.81,0,0,0,26.59,0,0.81,0.81,19.34,0.81,8.86,1.61,0,0,40.28,4.83,0,0,0,0,227.2,0,56.4,2.42,0,16.92,0,0,1.61,0
 48-58,0,0,4.59,0,2.87,0,0,16.07,0.57,4.02,0.57,5.74,0,0,0,15.49,0,0,0,12.05,0,8.03,3.44,2.3,2.3,50.49,1.72,0,0.57,0.57,0,232.39,0,38.44,6.31,0,15.49,0,0,1.15,0.57
 60-70,0,0,0.98,0,3.93,0,0,14.72,0.98,6.87,0.98,22.58,0,0,0,28.46,0,0,0.98,13.74,0,11.78,1.96,1.96,2.94,25.52,0.98,0.98,3.93,0,0,203.18,0,37.3,3.93,0,10.8,0,0,4.91,0.98
 72-82,0,0,10.8,0,4.91,0.98,0,23.56,0,9.82,2.94,138.41,28.47,0,0,36.32,0.98,0,0,15.71,0,19.63,1.96,3.93,2.94,45.16,7.85,0,1.96,0,0,196.33,0,68.72,3.93,0,7.85,0,0,8.83,0
 84-94,0,0,11.68,1.06,7.43,2.12,0,18.05,3.19,24.43,3.19,95.58,57.35,0,0,58.41,11.68,1.06,1.06,9.56,0,22.3,2.12,0,4.25,28.68,8.5,0,2.12,0,0,421.63,0,147.62,2.12,0,16.99,0,1.06,4.25,1.06
 96-106,0,0,17.49,2.19,28.41,9.84,0,52.46,6.56,43.71,2.19,138.79,240.43,0,0,76.5,5.46,0,0,33.88,1.09,22.95,6.56,6.56,5.46,81.96,26.23,1.09,9.84,0,0,336.6,0,153,2.19,0,14.21,1.09,1.09,4.37,1.09
108-118,0,0,12.26,2.3,25.28,1.53,2.3,66.64,0.77,35.23,3.06,137.11,372.26,0,0,47.49,8.43,0.77,0.77,14.55,0,19.92,4.6,2.3,1.53,58.98,52.09,0.77,12.26,0,0.77,205.28,0,150.89,0,0,16.85,0.77,0.77,3.06,0
120,1.96,0,13.72,0,17.64,0,0,48.99,3.92,17.64,1.96,86.23,299.85,0,0,52.91,3.92,0,0,17.64,0,11.76,1.96,1.96,1.96,62.71,88.19,3.92,5.88,0,0,170.5,1.96,96.03,5.88,0,11.76,0,0,1.96,0
