stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.66,0,0,0,18.4,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.06,3.15,0,0,6.29,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,1,3,0,2,0,0,1,0,0,0,0,0,0,2,0,0,19,0,0,0,2,0,0,0,1,13,0,1,0,0
 24-34,0,0,0,0,0.82,0,4.93,0,0,0.82,0.82,0.82,0,0,0,0,8.21,0,0.82,64.03,0,0,0.82,0,0,0.82,0,0.82,17.24,0,0.82,0,0
 36-46,0,0,0,0,1.61,0,12.89,0,0,2.42,0,0,0,0,0,0,8.86,0,2.42,64.45,0,1.61,0.81,0,0,0.81,0,0,16.11,0,0.81,0,0
 48-58,0,0,0,0,1.15,0,13.2,0,0,1.72,0.57,0,0,0,0,0,5.16,0,1.72,46.48,0,0.57,0.57,0,0,1.72,0,0,12.05,0,0.57,0,0
 60-70,0,0,0,0,0,0,35.33,0,0,9.82,0,0.98,0,0,0,0,16.69,0,1.96,57.91,0,0.98,0.98,0,0,1.96,0.98,0,8.83,0,1.96,0,0.98
 72-82,0,0,0.98,0,1.96,1.96,22.58,0,1.96,6.87,0,0.98,1.96,1.96,0,0,12.76,0.98,1.96,53.99,0.98,1.96,0,0,0.98,0,0,0,5.89,0,2.94,0.98,0
 84-94,0,0,0,0,3.19,1.06,22.3,0,0,7.43,1.06,1.06,1.06,2.12,1.06,1.06,10.62,0,1.06,25.49,0,1.06,1.06,0,0,6.37,1.06,0,5.31,1.06,2.12,0,1.06
 96-106,0,0,0,0,2.19,1.09,8.74,0,1.09,1.09,0,0,0,0,0,1.09,10.93,0,1.09,18.58,0,0,2.19,0,0,7.65,0,0,0,0,1.09,0,1.09
108-118,0,0,0,0,1.53,1.53,9.96,0,0.77,9.96,1.53,0,0,0,0.77,0,9.19,1.53,3.06,26.04,0,0.77,0.77,0,0.77,4.6,0.77,0,0.77,0.77,1.53,0.77,0
120,0,0,0,0,1.96,1.96,5.88,1.96,0,0,1.96,0,1.96,1.96,0,0,5.88,0,1.96,19.6,0,1.96,3.92,0,0,1.96,1.96,0,1.96,0,3.92,0,0
