stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,1,46,0,1,2,0,0,0,0,1,0,1,1,28,0,0,0,0
 24-34,0,0,0.82,0,66.49,0,0,0,3.28,0,0,0,0,0,1.64,2.46,0,0,3.28,395.65,0,2.46,6.57,0.82,0,0,0,0,0,0,0,91.12,0,0,1.64,0.82
 36-46,0,0,0.81,0,102.32,0,0,0.81,9.67,0,0,0,0,0,2.42,7.25,0,0.81,1.61,655.01,0,0,2.42,0,0,0,0,0,0,0,0,79.76,0,0,0.81,0.81
 48-58,0,0,2.3,0,164.68,0,0,0.57,23.53,0,0,0,0,0,1.15,8.03,0,0.57,1.15,791.28,0.57,0,1.15,0,0,1.15,0,0,0,0.57,0,80.91,0,0,0.57,0.57
 60-70,0,0,2.94,0,121.71,0,0.98,0,8.83,0.98,0,0,0,0.98,1.96,4.91,0,0,1.96,695.9,0,0.98,0,0,0.98,1.96,0,0,0,0,0,61.84,0,0,0.98,0
 72-82,0,0,0.98,0.98,129.58,0.98,0,0.98,13.74,0,0.98,0,0.98,1.96,3.93,7.85,0.98,0,0,552.68,0.98,0.98,0.98,0,0,0,0,0,0,0,0,46.14,0,0.98,7.85,0
 84-94,0,0,7.43,1.06,73.28,2.12,0,0,8.5,0,0,1.06,0,0,4.25,9.56,0,0,0,220.9,0,0,3.19,0,0,0,0,0,1.06,0,0,19.12,1.06,0,0,0
 96-106,0,0,4.37,1.09,55.74,0,0,0,13.11,1.09,0,0,1.09,0,5.46,3.28,1.09,0,1.09,205.46,0,1.09,1.09,0,0,2.19,1.09,0,0,1.09,0,15.3,1.09,0,0,0
108-118,0,0.77,6.13,0,51.32,0,0,0.77,5.36,0.77,0,0,0,0.77,3.83,2.3,0,0,0,204.51,0,0,2.3,0,0,1.53,0,0,1.53,0,0,3.83,1.53,0,2.3,0.77
120,0,0,3.92,1.96,62.71,0,0,0,5.88,0,0,0,0,0,5.88,7.84,0,0,3.92,170.5,0,0,1.96,0,0,0,0,0,0,1.96,0,1.96,1.96,1.96,1.96,0
