stage,axial,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,13.14,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0
 24-34,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,2.46,0,0,0,1.64,0,0,0,0,0,0,0,0.82,0,0,0.82,0,0
 36-46,0,0,0.81,0,0,0,0,0,0,0,0,0,1.61,0,0,0,0,4.03,0,0,1.61,7.25,0,0,0,0,1.61,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0.57,0,0,0,0,0,0.57,1.72,0,0,0,0,12.05,0,0,2.3,4.02,0,0,0,0,1.15,0,0,0,0,0,1.15,0,0
 60-70,0,0,2.94,0,0,1.96,0,0.98,1.96,0,0,0,2.94,0,0,0,0,27.48,0,0.98,0.98,6.87,0,0,0,0,9.82,0,0,0,0,0,0.98,0,0
 72-82,0,0,5.89,0,0,3.93,0,0,0,1.96,0,2.94,7.85,0,0,0,0,23.56,0,0,0.98,18.65,1.96,0,0,0,11.78,0,0,0.98,0,0.98,6.87,0.98,0
 84-94,0,0,9.56,0,0,1.06,3.19,0,0,2.12,0,0,9.56,0,0,1.06,2.12,15.93,0,0,0,3.19,1.06,1.06,0,0,40.36,0,0,0,1.06,0,9.56,1.06,0
 96-106,0,0,9.84,0,0,2.19,0,0,2.19,2.19,0,2.19,13.11,1.09,1.09,0,0,16.39,1.09,1.09,0,6.56,2.19,0,0,1.09,51.36,1.09,0,0,0,1.09,9.84,2.19,0
108-118,0,0,14.55,1.53,0,3.06,1.53,0,2.3,2.3,0,1.53,16.09,3.06,3.06,0,0,23.74,0,0,1.53,6.89,3.06,1.53,0,0.77,50.55,1.53,0,0,3.06,1.53,7.66,0,1.53
120,0,0,11.76,5.88,1.96,1.96,5.88,0,1.96,9.8,0,1.96,27.44,0,1.96,0,0,17.64,3.92,3.92,3.92,3.92,1.96,0,0,0,68.59,0,0,0,1.96,1.96,19.6,1.96,0
