stage,axial,blastomeres,eye,glial,mesenchyme,neural,notochord,paraxial_mesoderm,periderm,presomitic_mesoderm,spinal_cord
  3-4,13.18,39.53,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.26,0,0,18.4,0,2.63,0,0,0
 10-12,0,0,0,0,0,6.29,0,12.59,0,0,0
 14-21,0,0,0,0,0,4,0,0,0,1,0
 24-34,0,0,0.82,0,0,5.75,0.82,0,0.82,0,1.64
 36-46,0,0,1.61,0,1.61,9.67,0,0,0,0,3.22
 48-58,0,0,1.72,0,0,2.87,0,0,0,0,0.57
 60-70,0,0,0,0,0,3.93,0,0,0,0,0
 72-82,0,0,0,0,1.96,2.94,0,0,0,0,0
 84-94,0,0,0,0,3.19,2.12,0,0,0,0,1.06
 96-106,0,0,0,1.09,0,2.19,0,0,0,0,0
108-118,0,0,2.3,0,0,1.53,0,0,0,0,0
120,0,0,0,1.96,0,3.92,0,0,0,0,0
