stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,316.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0
  5-6,24.52,73.56,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,0,0,2.63,0,0,5.26,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,23.66,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.47,12.59,0,0,22.03,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,4,22,0,0,0,0,0,5,3,0,0,15,0,0,0,0,0,1,0,0,41,0,1,23,0,0,0,1,1,33,0,0,0,0,0
 24-34,0,0,0.82,4.93,20.52,0,1.64,0,0.82,0,2.46,4.93,0,0,46.79,0,8.21,2.46,0,0.82,5.75,0,0,97.68,0,3.28,39.4,0,0,0,0,4.93,50.89,0,0,0.82,0,0
 36-46,0,0,0,0,2.42,0,2.42,0,0,0,0.81,0,0,0,9.67,0,4.83,0,0,0.81,1.61,0.81,1.61,198.19,0,2.42,20.95,0,0,0,0,4.03,51.56,0,0,1.61,0,0
 48-58,0,0,0,0,2.87,0,19.51,0.57,0.57,0.57,8.03,0,0,0,4.59,1.15,4.59,0,0,3.44,0,0,0.57,235.26,0,0,22.38,0,0,0,0,0.57,45.9,0,0,0,0,0.57
 60-70,0,0,0,0,3.93,0,50.06,0,0,0.98,18.65,0,0,0,3.93,0.98,6.87,0,0,3.93,1.96,0,0,434.81,0,0.98,12.76,0,0,0,0,3.93,85.39,0,0,0,0,0
 72-82,0,0,1.96,0,6.87,0,129.58,0,0,0,32.39,0.98,0,0,8.83,2.94,13.74,0,0.98,12.76,0,0.98,0,321.99,0,1.96,26.5,0,0,0,0,5.89,27.49,3.93,1.96,0,0,0
 84-94,0,0,0,0,1.06,0,77.53,0,1.06,0,23.36,2.12,0,1.06,18.05,5.31,14.87,3.19,0,7.43,0,0,0,154,0,1.06,35.05,0,0,0,0,20.18,20.18,4.25,0,0,0,0
 96-106,0,0,2.19,0,13.11,0,73.22,0,0,1.09,19.67,9.84,0,0,17.49,2.19,27.32,5.46,0,21.86,0,0,0,142.07,0,2.19,19.67,0,3.28,1.09,0,14.21,10.93,3.28,4.37,0,2.19,0
108-118,0,0,0,1.53,7.66,0.77,67.4,0,0,0,17.62,10.72,0,0.77,12.26,3.06,14.55,5.36,0,11.49,1.53,0,0,144.77,0,1.53,24.51,0,0.77,0,0,20.68,6.13,3.06,0,0,0.77,0
120,0,0,0,0,11.76,0,76.43,0,5.88,0,23.52,13.72,0,0,7.84,5.88,11.76,17.64,0,15.68,0,0,0,239.09,0,1.96,33.32,0,1.96,0,0,19.6,11.76,9.8,0,3.92,0,0
