stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,382.16,7261.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,474.41,0,0,0,0,0,0,0,0,0,0
  5-6,196.15,2543.8,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,36.78,0,0,0,12.26,0,220.67,0,0,0,0,0,0,0,0,0,0
  7-9,10.51,2.63,0,7.89,0,0,0,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,68.35,2.63,0,0,18.4,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,6.29,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,2,24,0,2,0,0,1,0,0,3,2,0,0,0,0,1,3,0,0,3,25,1,0,0,0,0,3,0,0,0,1,8,0,0,3,0,1
 24-34,0,0,0,0.82,2.46,3.28,0,2.46,0,0,5.75,0,0,8.21,1.64,0,0.82,0.82,0,8.21,11.49,0,0,10.67,5.75,2.46,0,0,0,0,0,0,0.82,0,0,13.95,0,0,24.63,0,0
 36-46,0,0,0,0,0.81,0.81,0,4.03,0,0,0,0,0,4.03,3.22,0.81,0,5.64,0,0,13.7,0,2.42,1.61,3.22,4.03,0,0,0,1.61,0,0,0,0,0,14.5,0,0,3.22,0,1.61
 48-58,0.57,0,0,0,0,0,0,5.16,0,0,2.3,0,0,4.02,3.44,0,0,1.72,0,0,9.75,0,5.16,1.72,8.03,6.89,0,0.57,0,1.15,0.57,0,0,0,0,22.95,0,0,3.44,0,2.87
 60-70,0,0,0,0,0,0,0,27.48,0,0,2.94,1.96,0,1.96,8.83,0,0,2.94,0.98,0,11.78,0,2.94,0,13.74,2.94,0,0,0,2.94,4.91,0,0,0,0,3.93,0,2.94,3.93,1.96,0
 72-82,0,0,0.98,0,6.87,0,0,210.08,0,0.98,11.78,13.74,0,1.96,18.65,0,0.98,6.87,0,0.98,21.6,0,0.98,1.96,26.5,1.96,0,0.98,0,0.98,3.93,0,0,0,0,7.85,15.71,5.89,14.72,3.93,3.93
 84-94,0,0,0,0,2.12,0,3.19,176.3,0,2.12,5.31,10.62,0,0,29.74,0,0,4.25,0,0,5.31,0,6.37,1.06,11.68,3.19,0,0,0,0,8.5,0,0,0,0,14.87,47.79,4.25,14.87,2.12,4.25
 96-106,0,0,0,0,13.11,0,6.56,225.13,0,0,13.11,16.39,0,2.19,41.53,2.19,0,4.37,1.09,0,8.74,1.09,3.28,1.09,28.41,0,0,5.46,0,2.19,8.74,0,1.09,1.09,0,12.02,71.04,1.09,12.02,1.09,2.19
108-118,0,0,0,0,15.32,0.77,58.98,171.58,0.77,0,3.83,11.49,0,0,37.53,1.53,0,0,1.53,0,8.43,0,3.83,0.77,27.57,1.53,0,0,0,0.77,2.3,0,0,0,0,5.36,62.81,0.77,18.38,5.36,2.3
120,0,0,0,0,11.76,1.96,31.36,197.94,1.96,0,1.96,17.64,0,0,17.64,1.96,0,3.92,0,0,5.88,0,1.96,0,41.16,0,1.96,0,0,0,17.64,0,0,0,0,0,19.6,0,1.96,0,3.92
