stage,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,liver,mesenchyme,mucous,neural,notochord,olfactory,otic,periderm,pronephros,spinal.cord,taste,vasculature
 14-21,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,11.49,0,0,0,4.1,0,0,0,0,6.57,0,9.03,0,0,7.39,0,0,0,31.19,9.85,0,0,0
 36-46,0,15.31,0,0.81,0,2.42,0.81,0,0.81,0,0.81,0,2.42,0.81,0,8.86,0,0,0,104.74,9.67,1.61,0,0
 48-58,0,7.46,0,1.15,0,1.15,0,0.57,1.15,0.57,1.72,0,4.59,2.87,0,3.44,0,0,0,68.86,12.62,1.15,0,0.57
 60-70,0,6.87,0,2.94,0,2.94,0,0,2.94,0,0,0,3.93,2.94,0.98,3.93,0,0,0,62.82,17.67,0.98,0,0
 72-82,1.96,4.91,0,2.94,0,0.98,0,0.98,6.87,0,0,0.98,3.93,0,0,7.85,0,0.98,0.98,64.79,42.21,0,0,0
 84-94,0,9.56,0,1.06,0,4.25,0,1.06,13.81,1.06,2.12,0,2.12,0,7.43,3.19,0,0,0,317.55,98.77,0,0,0
 96-106,0,6.56,2.19,1.09,1.09,3.28,0,1.09,7.65,2.19,1.09,0,4.37,4.37,1.09,8.74,0,0,0,99.45,83.06,0,0,1.09
108-118,0,4.6,0,1.53,0,0.77,0.77,0.77,16.85,0.77,0,0,5.36,1.53,1.53,5.36,0.77,0,0,63.57,82.72,0,0.77,0
120,0,3.92,0,1.96,0,0,0,0,15.68,0,0,0,1.96,0,1.96,5.88,0,0,0,25.48,48.99,0,0,0
