stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,0,12.59,0,0,0,0,0,0,0,0,0
 14-21,0,1,4,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,10,2,0,1,0,0,5,0,0,1,5,0,0,1
 24-34,0,0,0,0,0,3.28,0,0,0,0,0,0,0,0,0.82,0,0,4.93,5.75,0,0,1.64,8.21,0,0,0,0,0.82,0,0,0,0,3.28,0,0,18.06
 36-46,0,0,0.81,0,0,4.03,0,0,0,0,0,0,0,0,0,0.81,0,12.09,10.47,0,0,0.81,7.25,0,0,0,0,0,0,0,0,0,0.81,0,0,24.17
 48-58,0,0,0,0,0,19.51,0,0,0,2.3,0,0,0,0,2.3,0,0,40.17,25.82,0.57,0,1.15,5.16,0,0,0.57,0,0,0,0,0.57,0,1.72,0,0,49.35
 60-70,0,0,0.98,0,0,138.39,0,0,0.98,0.98,0,0,0,0,11.78,0,0,29.45,29.45,0,0,1.96,17.67,0,0,0,0,0,0,0,0,0,0.98,0.98,0,58.89
 72-82,0,0,5.89,0,0,380.88,0,0.98,1.96,25.52,0,0.98,0.98,0,13.74,0,0,46.14,45.16,1.96,0.98,4.91,39.27,0,0,0,0,0.98,0,0.98,0,0,0,0,0.98,50.06
 84-94,0,0,2.12,1.06,0,206.04,0,0,0,19.12,2.12,0,1.06,1.06,20.18,0,0,64.78,31.86,0,1.06,3.19,23.36,0,0,0,0,1.06,0,0,0,0,3.19,1.06,0,60.54
 96-106,0,0,4.37,3.28,2.19,283.05,1.09,0,0,26.23,1.09,0,1.09,0,36.06,0,3.28,57.92,34.97,0,0,1.09,45.9,0,1.09,1.09,0,6.56,0,1.09,0,0,1.09,4.37,0,65.57
108-118,0,0,6.89,0.77,0,169.28,0,0,0,10.72,0,0,0.77,0,53.62,0,0.77,62.04,18.38,0.77,0,1.53,17.62,0,1.53,1.53,0,1.53,0,0,0,0,0,0.77,0.77,45.96
120,0,1.96,3.92,1.96,0,117.59,3.92,0,0,7.84,0,0,0,0,37.24,1.96,0,29.4,15.68,0,0,1.96,21.56,0,0,1.96,0,0,0,0,0,0,0,0,0,19.6
