stage,axial,blastomeres,endoderm,epidermis,eye,fin.mesenchyme,glial,gut,hatching.gland,lateral.line,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,13.18,461.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,91.94,1225.93,18.39,0,0,0,0,0,6.13,0,0,0,0,600.7,0,0,0,196.15,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,31.54,26.29,0,2.63,0,0,0,15.77,0,0,0,0,89.38,2.63,0,0,1451.05,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,3.15,12.59,0,3.15,0,0,0,0,0,0,0,0,22.03,15.73,0,0,802.48,0,0,37.76,15.73,0,28.32,0,0,0,0
 14-21,0,2,0,5,1,0,0,0,0,0,2,0,1,38,1,1,0,2,1,0,596,0,11,238,6,0,0,0
 24-34,0,0,0,0,3.28,0,0.82,0,0,0,2.46,0,0,23.8,0,0,1.64,0,0.82,0,3.28,0,0,62.39,2.46,0,0.82,0
 36-46,0,0,0,0,0.81,0,0,0,0,0,1.61,0,0.81,7.25,0,0,0,0,0,0,0,0,0,0.81,1.61,0,0,0
 48-58,0,0,0,0,1.15,0,0.57,0,0,0.57,1.72,0,0,3.44,0,0,0.57,0,0,0,0,0,0,0,0,0,0.57,0
 60-70,0,0,0,0,4.91,0,2.94,0,0,0,5.89,0,0,2.94,0,0,0.98,0,0,0,0,0,0,0,0.98,0.98,0,0.98
 72-82,0,0,0,0,0,0.98,0.98,0,0,0,4.91,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0.98,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,1.06,0,0,2.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,1.09,2.19,0,1.09,0,0,0,0,1.09,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0.77,0.77,0.77,0,0,1.53,0,0,2.3,0,0,0.77,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,1.96,0,0,3.92,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0
