stage,axial,blastomeres,endoderm,epidermis,exocrine.pancreas,eye,fin.epithelia,glial,gut,hatching.gland,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,0,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,147.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,18.4,0,0,7.89,0,0,0,7.89,0,0,0,0,0,0,97.26,0,0,0,65.72,0,0,0,0,0,0,0
 10-12,0,6.29,9.44,0,0,3.15,0,0,0,0,0,0,0,0,0,0,88.12,0,0,0,44.06,3.15,0,9.44,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,7,0,0,0,0,0,1,0,0,0,0,1
 24-34,0,0,0,0,0,2.46,0.82,0,0,0,0,0,0.82,3.28,0,0,22.98,0,0,0,0,0,0,0,0,4.1,0,0.82
 36-46,0,0,0,0,0,3.22,0,0,0,0,0,0,0,2.42,0,0,15.31,0.81,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,8.03,0,0.57,0,0,0,0,0,1.72,0,0.57,8.61,0,0,0,0,0,0,0,0.57,0.57,0.57,0
 60-70,0,0,0,0,0,8.83,0,1.96,0,0,0,0,0,0.98,0.98,0.98,8.83,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,2.94,0,0,0,0,0.98,0,0,2.94,0,0.98,7.85,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,5.31,0,0,1.06,0,0,0,0,2.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,1.09,0,0,0,0,0,0,0,1.09,0,1.09,0,0,2.19,0,1.09,0,0,0,0,1.09,0,0,0,0
108-118,0,0,0,0,0.77,1.53,0,0.77,0,0,0,0,0,2.3,0,0.77,0.77,0,0,0.77,0,0,0,0,0,0,0,0
120,0,0,0,0,0,3.92,0,5.88,0,0,0,0,0,1.96,0,0,9.8,0,0,0,0,0,0,0,0,0,0,0
