stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,4,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,121,0,5,0,0,0,0,0,0,0,1,94,0,0,0,0,0
 24-34,0,0,1.64,0,0,9.03,0,0,0,0.82,0,0,0,0,0,0,0,0,0,4.1,0,0,1.64,746.16,0.82,35.3,0.82,0,0,0.82,0,0,0.82,1.64,247.08,0,0,0.82,0,0
 36-46,0,0,2.42,0,0,80.57,0.81,0,0.81,2.42,0,0,1.61,0,0,0,0,0,0,8.06,0,0,3.22,1650.82,1.61,33.84,0,0,0,2.42,0,0,0,0,407.67,0,0,1.61,0,1.61
 48-58,0,0,6.31,0.57,0,251.9,0.57,0.57,1.72,20.66,0,0,0,1.15,0,1.15,0,0.57,1.15,14.92,0,1.15,4.02,1958.4,0,20.08,0.57,0,0,2.3,0,0,0.57,0,458.47,0,0,2.87,0,1.15
 60-70,0,0,5.89,1.96,0,260.1,0,0.98,1.96,19.63,0.98,0,0,0,0,0,0,0,0.98,16.69,0,0.98,3.93,2012.12,0,19.63,0.98,0,0,4.91,0,0,0,0,350.4,0,0.98,1.96,0,0
 72-82,0,1.96,5.89,0,0,238.54,0,0.98,0.98,27.49,0,0,0,2.94,0.98,0,0.98,0,0,22.58,0,0,1.96,1437.15,0,37.3,0.98,0,0.98,0,0,0,0,0,183.57,0.98,0,4.91,0,0.98
 84-94,0,1.06,5.31,0,0,186.92,0,1.06,2.12,31.86,0,0,0,0,1.06,2.12,0,0,0,21.24,1.06,1.06,4.25,729.62,0,27.61,1.06,0,1.06,2.12,0,1.06,1.06,0,95.58,0,2.12,3.19,0,0
 96-106,0,1.09,7.65,1.09,0,113.66,0,1.09,1.09,27.32,2.19,0,0,1.09,0,1.09,1.09,0,1.09,13.11,1.09,0,1.09,549.7,0,22.95,3.28,0,0,3.28,0,0,0,0,45.9,2.19,0,2.19,2.19,0
108-118,0,0,6.89,1.53,1.53,91.15,0,0,1.53,22.21,0.77,0,0,0,0,1.53,0,0.77,0,19.92,1.53,0.77,2.3,536.17,0,15.32,0.77,0,0,1.53,0,0,0,0,36.77,3.06,0.77,1.53,0,0.77
120,0,1.96,11.76,3.92,0,172.46,1.96,1.96,1.96,33.32,0,0,0,0,0,0,0,0,0,21.56,0,0,3.92,891.7,0,27.44,0,0,0,1.96,0,1.96,0,0,76.43,0,0,0,0,0
