stage,blastomeres,epidermis,eye,glial,immune,liver,mesenchyme,muscle,neural,olfactory,otic,spinal.cord
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,2.63,0,0,0
 24-34,0,0,0,0,0,0,0,0,1.64,0,0,0
 36-46,0,0,0,0,0,0,0,0,4.03,0,0,0
 48-58,0,0,0.57,0,0,0,0,0,2.87,0,0,0
 60-70,0,0,0,0.98,0,0,0,0,4.91,0,0,0
 72-82,0,0,0.98,4.91,0,0,0.98,0.98,27.49,0,0,1.96
 84-94,0,1.06,2.12,14.87,0,0,0,0,10.62,0,0,2.12
 96-106,0,2.19,1.09,24.04,0,1.09,2.19,0,16.39,0,3.28,1.09
108-118,0,1.53,0.77,14.55,0,0,2.3,0,29.11,1.53,0.77,2.3
120,0,0,5.88,11.76,1.96,0,1.96,0,37.24,0,0,1.96
