stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,110.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.72,2.63,0,0,28.92,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.23,3.15,0,0,9.44,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,5,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,3,47,1,0,0,1,0,3,5,1,1,11,0,0,0,0,0
 24-34,0,0,0.82,0,2.46,0,4.93,0,0,0.82,0,0,0,0.82,0,0,0,5.75,0,0,2.46,72.24,1.64,0,1.64,0,0,0,0,0,0.82,13.13,0,0,3.28,0,0
 36-46,0,0,0,0,0.81,0,15.31,0,0.81,1.61,0,0,0,0,0,0,0,8.86,0,0,1.61,91.85,0.81,0,0,0,0,2.42,0,0,0,21.75,0,0,0,0,0
 48-58,0,0,0,0,0,0,19.51,1.15,0,2.87,0,0.57,0,0,0,0,0.57,10.33,0,0,2.87,87.79,0,0.57,1.15,0,0,0.57,0,0,0,13.77,0,0,0.57,0,0.57
 60-70,0,0,0,0,0.98,0,23.56,0,0.98,1.96,0,0,0,0,0,0,0,8.83,0.98,0.98,0,71.65,0,0.98,0,0,0,0.98,0,0,0,11.78,0,0,0,0,0
 72-82,0,0,0,0,1.96,0.98,31.41,0,2.94,5.89,0,0,0,0,1.96,0,0,14.72,0,0,0,86.39,0,0.98,0.98,0,0,4.91,0,0,0,3.93,0,0,0,0.98,0
 84-94,0,0,1.06,0,2.12,0,8.5,1.06,0,4.25,0,0,2.12,0,1.06,0,0,7.43,1.06,0,1.06,32.92,0,0,0,0,0,8.5,0,0,0,5.31,0,1.06,2.12,0,0
 96-106,0,0,0,0,6.56,0,14.21,0,0,4.37,2.19,0,1.09,0,2.19,0,0,9.84,0,2.19,1.09,38.25,2.19,0,1.09,0,0,2.19,0,0,0,2.19,2.19,1.09,2.19,0,1.09
108-118,0,0,0,0,3.06,0,12.26,0,0,9.19,2.3,0.77,0,0,0,1.53,0.77,6.89,0,0,0.77,36,0,1.53,0,0,0.77,3.06,0,0,0,0,0.77,0,2.3,0,0
120,0,0,0,0,9.8,0,11.76,0,0,5.88,0,0,0,0,0,0,0,17.64,0,0,0,27.44,0,0,1.96,0,0,5.88,0,0,0,3.92,1.96,0,1.96,0,0
