stage,blastomeres,epidermis,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,ionocyte,mesenchyme,mural_cell,muscle,neural,notochord,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,6.29,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
 24-34,0,0.82,0,0,0,0,0,0,0,0,1.64,0,1.64,1.64,0,0,0,4.93,0,0.82,0,0,0,0
 36-46,0,0,0,0.81,0,0,0,0,0,0,4.83,0,0.81,5.64,0,0,0,6.45,0,0,0,0,0,0
 48-58,0,0,0,0,0,1.15,0,0,0.57,0,12.62,0,1.72,10.9,0,0,0,5.16,0,0,0.57,0.57,2.3,0
 60-70,0,0.98,0,0,0.98,0,1.96,0,0,0,33.37,0,0.98,27.48,0,0,0,9.82,0,0,0.98,0.98,2.94,0.98
 72-82,0,0,0,3.93,0,0.98,0,0,0.98,0,53.01,0,5.89,33.38,0,0,0,10.8,0,0,0.98,3.93,11.78,4.91
 84-94,0,2.12,0,7.43,1.06,0,2.12,0,0,0,22.3,0,2.12,11.68,0,0,0,26.55,0,0,1.06,0,4.25,5.31
 96-106,0,2.19,1.09,6.56,1.09,1.09,0,1.09,3.28,0,31.69,2.19,1.09,10.93,0,0,3.28,25.14,0,0,1.09,4.37,0,10.93
108-118,0,1.53,0,6.13,0,0,1.53,0,2.3,0.77,39.06,0.77,0.77,22.21,0,0,1.53,10.72,0,0,0.77,2.3,5.36,4.6
120,0,7.84,0,0,0,1.96,0,0,0,0,17.64,0,1.96,17.64,0,0,1.96,17.64,0,0,3.92,3.92,1.96,3.92
