stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,spinal_cord,vasculature,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,0,0
 14-21,0,0,1,2,0,18,0,1,1,0,0,0,0,0,0,3,0,0,0,10,1,1,0,0,0,1,1,0,2,0,0
 24-34,0,0,0,3.28,0,164.17,0,0,0,0,0,0,0.82,0,0,4.1,0,0,0.82,22.16,0,0.82,0.82,0,0,0,0,0,3.28,0,0
 36-46,0,0,0,1.61,0,128.1,1.61,1.61,0,0.81,0.81,0,0,0,0,1.61,0,0.81,0.81,26.59,0,0.81,0,0,0,4.03,0,0,8.86,1.61,0.81
 48-58,0,0,0,0,0,92.38,0,0.57,0,0,0,0.57,1.15,0.57,0,5.74,0,0,0,5.74,0,0,0.57,0,0,0.57,0,0,2.87,0.57,0
 60-70,0,0,0,0.98,0,53,0,0.98,0,0,0,0,1.96,0,0,9.82,0,0,0.98,2.94,0,0,0,0,0,1.96,0,0,1.96,0,0
 72-82,0,0,0,4.91,0.98,40.25,0,0.98,0,0,0,0,0,0,0.98,5.89,0,0,0.98,4.91,0.98,0,0,0,0.98,1.96,0,0,0.98,0.98,0
 84-94,0,0,0,4.25,0,43.54,1.06,1.06,0,0,1.06,0,0,0,0,1.06,0,0,0,7.43,0,0,0,0,0,2.12,0,0,1.06,1.06,0
 96-106,0,0,0,2.19,1.09,10.93,1.09,0,0,0,0,0,0,0,0,8.74,0,0,0,1.09,0,3.28,0,0,0,3.28,0,0,0,0,0
108-118,0,0,0.77,3.06,0,17.62,0.77,0,0.77,0.77,2.3,0,0.77,0,0,1.53,0,0,1.53,0.77,0,1.53,0,0,0,0.77,0,0,0,0,0
120,0,0,0,3.92,0,17.64,3.92,0,0,0,0,1.96,1.96,0,0,9.8,1.96,0,0,3.92,0,0,0,0,0,9.8,0,0,0,0,0
