stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.78,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,245.19,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,13.14,0,39.43,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,25.18,6.29,0,0,78.67,0,28.32,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,13,1,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,4,0,3,11,11,0,1,10,0,455,5,1,1,3,3,0,0,0,0,0
 24-34,0,0,0,0,12.31,0.82,0,2.46,1.64,0.82,0,0,0,0,1.64,1.64,0,1.64,0,0,1.64,0,0,0,18.88,6.57,3.28,0.82,0,0,194.54,0,0.82,0,0,8.21,0,0,0,0,0
 36-46,0,0,0,0,25.78,0,0,0,4.03,0,0,0.81,0,0,1.61,0,0,0.81,0,0,1.61,0,0,0.81,13.7,5.64,7.25,0,0,0,161.13,0,0,0,0,4.03,0,0,0,0,0
 48-58,0,0,0,0,19.51,0,0,5.16,1.15,0.57,1.15,0,0,0,5.74,0,0,0,0,0,2.3,0,0,1.72,14.35,1.15,2.87,0,0,0,160.09,0,0,0,0,5.16,0,0,0.57,0,0
 60-70,0,0,0,0,36.32,0,0,9.82,6.87,0,0.98,0.98,0,0,12.76,0.98,0,1.96,0,0,1.96,2.94,2.94,0,11.78,0,1.96,0,0,0,139.38,0,0,0,0,1.96,0,0,0,1.96,0
 72-82,0,0,0.98,0,48.1,0.98,0,7.85,3.93,0,8.83,2.94,0,0,22.58,0,0,0.98,0.98,0.98,4.91,2.94,0.98,0,15.71,1.96,0.98,1.96,0,0,218.91,0,0.98,0,0,2.94,1.96,0,0,9.82,0
 84-94,0,0,1.06,0,116.82,0,0,4.25,24.43,0,6.37,3.19,0,0,15.93,19.12,0,7.43,0,0,7.43,8.5,1.06,0,10.62,2.12,5.31,0,0,0,660.59,0,0,1.06,0,1.06,8.5,0,0,7.43,0
 96-106,0,0,1.09,0,199.99,2.19,0,18.58,51.36,1.09,10.93,16.39,0,0,46.99,33.88,2.19,10.93,3.28,0,13.11,24.04,2.19,0,44.81,6.56,17.49,4.37,0,1.09,1285.19,0,2.19,0,0,2.19,6.56,4.37,1.09,27.32,0
108-118,0,0,0,0,185.36,1.53,0.77,13.79,94.98,1.53,6.13,7.66,0,0,33.7,52.09,0,16.09,0.77,0,6.13,29.11,1.53,0.77,29.87,12.26,11.49,5.36,0,0,1526.56,0,0,0,0,0.77,10.72,0,2.3,18.38,1.53
120,0,0,0,0,94.07,1.96,0,7.84,47.03,0,5.88,3.92,0,0,37.24,11.76,0,3.92,0,0,3.92,15.68,0,1.96,27.44,9.8,0,1.96,0,0,666.33,0,1.96,0,0,1.96,1.96,0,0,27.44,0
