stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,glial,lateral.line,mesenchyme,neural,notochord,olfactory,otic,paraxial.mesoderm,pronephros,spinal.cord,vascular.smooth.muscle
  3-4,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,44.06,3.15,0,0,6.29,3.15,0,0
 14-21,0,0,2,0,2,13,0,4,21,0,0,1,1,17,57,0
 24-34,0,0,0,0,0,24.63,0,1.64,12.31,0,3.28,0.82,0,1.64,26.27,0
 36-46,0,0,0,0,0,7.25,0,0,9.67,0,3.22,0,0,1.61,11.28,0
 48-58,0,0,0,0,0,8.03,0,0,6.89,0,3.44,1.15,0,0,13.77,0
 60-70,0,0,0,0,0,9.82,0,0.98,3.93,0,1.96,0.98,0,0.98,9.82,0
 72-82,0,0,0,0,0.98,15.71,0.98,0.98,2.94,0,5.89,1.96,0,0,4.91,0
 84-94,0,0,0,0,1.06,7.43,2.12,1.06,1.06,0,1.06,4.25,0,0,7.43,1.06
 96-106,0,0,0,1.09,1.09,7.65,1.09,1.09,3.28,0,7.65,6.56,0,0,5.46,0
108-118,0,0.77,0,0,0,9.19,3.83,0,2.3,0,3.83,5.36,0,0,4.6,0
120,0,0,1.96,0,1.96,0,0,0,1.96,0,0,1.96,0,0,0,0
