stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,3.15,0,0,28.32,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,15,19,18,13,0,0,0,0,4,0,1,0,0,0,0,0,3,0,2,37,0,0,1,1,0,0,0,11,0,39,79,12,0,0,19,0
 24-34,0,8.21,15.6,2.46,27.91,0,0,1.64,2.46,4.1,0,2.46,0,2.46,0,0.82,0,23.8,0,14.78,64.03,7.39,0.82,0,0,0,0,0,0,0.82,2.46,0.82,17.24,0,0,149.4,0
 36-46,0,0.81,3.22,0.81,15.31,0,0,1.61,1.61,0.81,0,1.61,0,0,0,0.81,0,40.28,0.81,8.86,44.31,4.03,0,0,0,0,4.03,0,0,3.22,1.61,0,12.09,0,0,87.82,0
 48-58,0,0,4.02,0.57,30.99,1.15,0.57,1.72,2.3,0.57,0.57,2.87,0,0,0.57,0.57,0,67.71,2.3,8.61,31.56,0.57,0,0,0,2.87,0,0,0,0.57,1.72,0,5.16,0,1.15,84.92,0
 60-70,0,0,0.98,0,45.15,0.98,0.98,0.98,1.96,0.98,0,3.93,0,0,0,0,0.98,99.13,2.94,3.93,23.56,0.98,0.98,0,0,0.98,0,0,0,1.96,3.93,0,4.91,0,3.93,79.5,0
 72-82,0,0.98,2.94,1.96,55.95,0,0,1.96,4.91,1.96,0,6.87,0,0,0,1.96,0.98,161.97,5.89,7.85,29.45,0,0.98,4.91,0,1.96,0.98,0,0,0,1.96,0,2.94,0,7.85,146.27,2.94
 84-94,0,0,4.25,1.06,55.23,0,1.06,7.43,4.25,6.37,0,5.31,1.06,0,0,0,3.19,130.63,5.31,10.62,19.12,1.06,0,0,0,3.19,1.06,0,0,2.12,2.12,0,1.06,0,6.37,124.26,8.5
 96-106,0,0,0,1.09,40.44,1.09,0,1.09,10.93,8.74,0,4.37,2.19,0,0,1.09,1.09,102.73,6.56,3.28,27.32,0,1.09,0,0,4.37,0,0,0,2.19,0,0,1.09,2.19,6.56,153,6.56
108-118,0,0.77,1.53,0,32.17,1.53,0.77,0,6.13,3.83,0,1.53,2.3,0,0,0,6.89,94.98,3.06,6.13,17.62,0.77,0,0.77,0,0.77,2.3,0,0,4.6,2.3,0,2.3,0,6.89,105.7,4.6
120,0,0,1.96,1.96,41.16,0,0,3.92,15.68,7.84,0,1.96,1.96,0,0,0,13.72,84.27,5.88,3.92,21.56,3.92,1.96,3.92,0,0,0,0,0,1.96,1.96,0,1.96,0,0,137.18,1.96
