stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,65.89,737.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.89,0,0,0,0,0,0,0,0,0,0,0
  5-6,55.17,367.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.51,2.63,0,0,0,0,2.63,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,36.8,2.63,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,6.29,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,81.82,0,0,0,22.03,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,9,10,11,0,0,0,0,0,1,0,0,0,0,1,2,5,0,0,1,50,1,0,1,2,0,5,0,1,1,0,3,14,0,0,7,0,1
 24-34,0,0,0.82,1.64,4.1,0.82,18.88,0.82,0,1.64,0,0,1.64,3.28,4.1,0,0,0.82,5.75,8.21,1.64,0,1.64,49.25,1.64,1.64,0,0,0,14.78,0,0,5.75,0,0,14.78,0,0,13.95,0,1.64
 36-46,0,0,0,0,1.61,0,9.67,0,0.81,1.61,0,1.61,0.81,3.22,0,0,1.61,0,4.83,6.45,0,0,3.22,29,0.81,0,1.61,0,0,10.47,0,0,0.81,0,0,2.42,0,0,11.28,0,0.81
 48-58,0,0,0,0.57,1.15,0,11.48,1.15,0.57,2.3,0.57,1.72,0.57,4.59,1.15,1.72,0.57,0.57,4.59,6.89,0.57,0,1.72,13.2,0,1.15,0.57,0,0,10.9,0,0,1.15,0,0,3.44,0,0,14.92,0,4.02
 60-70,0,0,0.98,0,2.94,0,5.89,2.94,0,12.76,1.96,0,0.98,6.87,0.98,4.91,0.98,0,2.94,17.67,0,0.98,1.96,14.72,0,0.98,1.96,0,0,15.7,0,0,0,0,0,0.98,0,0,11.78,0.98,1.96
 72-82,0,0,3.93,0,4.91,1.96,14.72,0.98,0.98,14.72,1.96,0,0.98,11.78,2.94,2.94,1.96,0,0.98,51.05,0.98,0.98,4.91,32.39,0,5.89,4.91,0,0.98,40.25,0,0,1.96,0,0,0.98,0,0,18.65,1.96,0
 84-94,0,0,0,0,7.43,1.06,18.05,6.37,1.06,6.37,3.19,2.12,0,21.24,6.37,9.56,0,0,8.5,26.55,1.06,1.06,3.19,12.74,0,4.25,3.19,0,0,115.76,0,0,0,0,0,1.06,2.12,0,21.24,2.12,3.19
 96-106,0,0,2.19,0,7.65,3.28,24.04,4.37,3.28,9.84,14.21,0,1.09,17.49,8.74,4.37,0,0,4.37,41.53,3.28,1.09,1.09,26.23,0,5.46,1.09,0,1.09,90.71,1.09,0,1.09,1.09,0,2.19,2.19,1.09,22.95,0,4.37
108-118,0,0,1.53,0,16.85,3.83,17.62,6.89,1.53,7.66,12.26,0,0,14.55,8.43,2.3,0.77,2.3,7.66,17.62,2.3,0.77,2.3,23.74,0.77,3.83,3.83,0,0.77,62.04,0,0,3.06,0.77,0,0.77,1.53,0,18.38,1.53,5.36
120,0,0,0,0,27.44,0,7.84,5.88,0,9.8,3.92,0,1.96,19.6,0,5.88,0,1.96,1.96,47.03,5.88,1.96,0,13.72,1.96,0,0,0,3.92,54.87,0,0,1.96,0,0,0,0,0,19.6,3.92,1.96
