stage,axial,blastomeres,endoderm,eye,fin.mesenchyme,heart,mesenchyme,muscle,neural,paraxial.mesoderm,periderm,spinal.cord,vasculature
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,18.39,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,2.63,0,0,0,0,10.51,2.63,0,0,0
 10-12,0,0,0,0,0,0,0,0,18.88,9.44,0,0,0
 14-21,0,0,0,0,0,0,0,0,2,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,4.93,0,0,0.82,0
 36-46,0,0,0,0,0,0,0,0,2.42,0,0,0,0.81
 48-58,0,0,0,1.15,0,0,0,0,1.72,0,0,0,0
 60-70,0,0,0,0.98,0,0,0.98,0,0.98,0,0,0.98,0
 72-82,0,0,0,0,0.98,0,0.98,0.98,1.96,0,0,0,0
 84-94,0,0,0,0,0,1.06,0,0,1.06,0,1.06,0,0
 96-106,0,0,0,0,0,0,0,0,1.09,0,0,0,0
120,0,0,0,0,0,0,0,0,1.96,0,0,0,0
