stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,461.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0
  5-6,12.26,116.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.47,3.15,0,0,12.59,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,2,3,0,3,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,30,0,0,1,1,0,30,1,1,1,19,0,0,2,0,0
 24-34,0,0,0,4.93,0,0,9.85,0,0.82,7.39,4.1,1.64,0,0,0,0,0.82,0,0,13.13,0.82,0,4.1,133.8,4.1,0,1.64,0,0,175.66,0,1.64,4.93,44.33,0,0,0.82,0,0
 36-46,0,0,0.81,3.22,0,0,20.95,0,0,21.75,7.25,0,0,0.81,0,0.81,1.61,0.81,1.61,24.98,0,0,4.03,111.18,0.81,2.42,2.42,0,0,149.85,0,0.81,0,50.76,0,0,2.42,0,0.81
 48-58,0,0,1.15,1.72,0,0,22.95,0,1.15,23.53,16.64,1.15,0,0,0.57,0,2.3,0,1.72,26.4,1.72,0.57,5.16,55.09,1.15,0.57,0,0,0.57,179.6,0,1.15,0,24.67,0,0.57,0,0,0.57
 60-70,0,0,0,6.87,0,0,11.78,0,2.94,26.5,17.67,0,0,0,0.98,0.98,2.94,0,0,31.41,0.98,0,3.93,35.33,0.98,0,0,0,0,188.45,0,0,0,8.83,0,0.98,0.98,0,0.98
 72-82,0,0,0,10.8,0,0,11.78,0,3.93,25.52,36.32,2.94,0.98,0,0.98,0,1.96,0,0,53.01,1.96,2.94,4.91,32.39,0,0,0.98,0,0,195.35,0,0,0,3.93,0.98,0,0.98,0.98,3.93
 84-94,0,0,0,11.68,0,0,11.68,0,8.5,30.8,23.36,6.37,1.06,0,6.37,2.12,2.12,0,0,42.48,5.31,1.06,3.19,26.55,0,2.12,6.37,0,1.06,440.75,0,2.12,0,4.25,1.06,1.06,1.06,0,2.12
 96-106,0,0,2.19,28.41,0,1.09,18.58,1.09,6.56,8.74,22.95,10.93,1.09,0,13.11,1.09,7.65,1.09,1.09,29.51,8.74,1.09,3.28,26.23,0,2.19,4.37,1.09,0,448.07,0,2.19,0,3.28,0,0,0,2.19,2.19
108-118,0,0,0,21.45,0,0.77,9.19,0,8.43,13.02,17.62,14.55,0.77,2.3,13.02,0.77,5.36,0,0,27.57,5.36,0.77,1.53,39.83,0,5.36,2.3,0,0,351.58,0,2.3,0,2.3,0,0,1.53,0.77,3.83
120,0,0,0,25.48,0,1.96,11.76,0,11.76,19.6,23.52,7.84,0,0,5.88,3.92,1.96,0,0,15.68,9.8,0,1.96,29.4,1.96,0,0,0,0,286.13,0,3.92,0,3.92,0,0,0,0,0
