stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,52.71,1858.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.78,0,0,0,0,0,0,0,0,0
  5-6,24.52,919.45,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.91,0,0,0,6.13,232.93,0,0,0,0,0,0,0,0,0
  7-9,21.03,21.03,0,42.06,0,0,113.03,0,0,0,0,18.4,0,0,0,0,0,0,0,0,0,1243.38,10.51,0,0,233.96,42.06,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,31.47,0,0,22.03,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0,418.55,9.44,0,0,44.06,12.59,3.15,3.15,12.59,0,0,0,0,0,0
 14-21,0,0,0,13,110,5,3,0,0,0,7,0,0,0,5,0,1,14,1,0,2,13,1,1,10,1,5,1,2,1,1,5,0,0,2,0
 24-34,0,0,1.64,7.39,48.43,0,2.46,4.1,0,0,4.93,0,0.82,0,4.93,1.64,0.82,4.1,4.93,0,4.93,9.03,0,2.46,2.46,0,10.67,0,0,4.1,0,1.64,0,0,1.64,0
 36-46,0,0,0.81,0,17.72,0.81,0.81,2.42,0,0.81,2.42,0,0,0,0.81,1.61,0.81,2.42,0,0.81,0,8.06,0,1.61,1.61,0,4.83,0,0,1.61,0,0,0,0,2.42,0
 48-58,0,0,0,0,11.48,0,2.87,4.02,0,0.57,1.15,0,0.57,0,1.72,2.3,1.15,1.15,1.72,0,0,6.89,0,1.72,2.3,0,2.87,0,0,0,0,1.15,0,0,1.15,0
 60-70,0,0,0.98,0,13.74,0,1.96,4.91,0,1.96,5.89,0,0,0.98,1.96,0.98,0,2.94,0.98,0,0,7.85,0,0.98,0,0,2.94,0,0,0,0,1.96,0.98,0,0,0
 72-82,0,0,2.94,0,19.63,0.98,3.93,3.93,0.98,0,4.91,1.96,0,0,3.93,0.98,0,1.96,4.91,0,0,8.83,0,1.96,0.98,0,1.96,0,0,0,0,0,2.94,0.98,0,0.98
 84-94,0,0,4.25,0,31.86,0,4.25,4.25,0,0,8.5,3.19,0,0,8.5,3.19,0,1.06,3.19,0,0,8.5,0,2.12,2.12,0,16.99,0,0,2.12,0,0,6.37,0,1.06,0
 96-106,0,0,1.09,0,31.69,1.09,1.09,4.37,0,1.09,5.46,0,1.09,0,7.65,6.56,0,2.19,1.09,0,1.09,10.93,0,3.28,6.56,0,17.49,0,0,1.09,0,0,3.28,0,1.09,0
108-118,0,0,0.77,0,42.13,0,3.06,13.02,0,1.53,16.09,0,0,0,3.06,0.77,0.77,0.77,2.3,0,0,10.72,0,3.06,2.3,0,7.66,0,0,1.53,0,0.77,5.36,0,2.3,0
120,0,0,1.96,0,41.16,0,1.96,3.92,0,0,5.88,0,0,0,0,1.96,1.96,0,1.96,0,0,5.88,0,1.96,0,0,5.88,0,0,1.96,0,0,1.96,0,0,0
