stage,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,4,364,2,0,5,0,0,0,4,0,1,0,1,0,1,1,6,2,0,10,81,2,0,0,3,279,5,3,14,27,0,1,0,0
 24-34,2.46,99.32,0.82,0,16.42,0,0.82,0.82,0.82,1.64,3.28,0,0,0,1.64,0.82,23.8,2.46,0,5.75,178.95,0,1.64,5.75,0,190.44,0,2.46,0.82,41.04,0,3.28,0,0
 36-46,0,29,0,0,18.53,0,3.22,0,6.45,1.61,2.42,0,0.81,0,0.81,0,14.5,0,0,4.83,123.27,0,2.42,1.61,0,91.04,0,3.22,0,33.03,0,2.42,0,0.81
 48-58,0,6.89,0.57,0,35,0.57,0.57,2.3,8.61,0,0.57,0,0.57,0,0.57,1.72,20.66,0,0.57,5.74,99.27,1.15,2.87,2.3,0,32.13,0,0.57,0,14.92,0,3.44,0,0
 60-70,0,6.87,0,0,33.37,0,0,2.94,4.91,4.91,0,0,0,1.96,4.91,0,24.54,1.96,0.98,1.96,83.43,0,1.96,8.83,0,17.67,0,2.94,0,11.78,0,1.96,0,0
 72-82,0,5.89,0,0.98,42.21,0,0,0.98,12.76,0,1.96,0.98,0,0.98,3.93,0,27.49,0,1.96,4.91,69.7,0,9.82,16.69,0,3.93,0,2.94,0,4.91,0.98,9.82,0,0
 84-94,0,7.43,0,3.19,23.36,0,1.06,1.06,13.81,1.06,1.06,0,0,1.06,7.43,1.06,20.18,0,0,1.06,28.68,1.06,25.49,13.81,0,18.05,0,8.5,0,3.19,0,16.99,0,0
 96-106,0,7.65,0,0,8.74,1.09,0,1.09,6.56,10.93,2.19,0,0,1.09,16.39,3.28,17.49,0,3.28,2.19,36.06,0,32.79,40.44,0,8.74,0,4.37,0,0,0,14.21,0,0
108-118,0,6.13,0.77,3.06,16.85,0,0.77,2.3,5.36,9.19,0,0,0,0.77,15.32,3.06,23.74,0,0,1.53,24.51,0,26.04,21.45,0,4.6,0,6.13,0,0.77,0,5.36,1.53,0
120,0,17.64,1.96,0,9.8,0,0,1.96,11.76,25.48,0,0,1.96,0,7.84,5.88,17.64,0,0,1.96,31.36,0,11.76,25.48,0,7.84,0,3.92,0,0,0,5.88,0,1.96
