stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.32,0,0,0,59.79,0,0,0,6.29,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,17,26,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,37,0,0,77,28,0,0,0,0,0,0,0,43,0,1,59,7,0,25,0,0
 24-34,0,0,0,0,3.28,4.1,0,9.85,0,0,1.64,2.46,0,0,4.93,0,0,0,0,0,0,143.65,0,0,80.44,71.41,0,0,3.28,0,0,0.82,0,0,0.82,0,22.98,16.42,0,94.4,0,0.82
 36-46,0,0,0.81,0,2.42,0,0,12.09,0.81,0,8.06,4.83,0,0,3.22,0,0.81,0,1.61,0,0,182.08,0,0,39.48,66.06,0,1.61,1.61,0,0,0.81,0,0,0,0.81,2.42,8.06,1.61,67.68,0,0
 48-58,0,0,0,0,1.15,0,0,17.79,2.87,0,8.61,2.87,0,6.31,4.02,0.57,0,1.72,0,0,0.57,246.16,0,1.15,26.4,79.76,0,0.57,2.3,0,0.57,1.72,0,0,0,1.72,0,12.05,0.57,70,0,0
 60-70,0,0,0,0,5.89,0.98,0,20.61,0,2.94,17.67,3.93,0.98,1.96,4.91,2.94,0,5.89,0,0,0,291.51,0,2.94,30.43,139.38,0.98,0,6.87,0,0.98,0,0,0,0,0.98,0,10.8,5.89,52.02,3.93,0
 72-82,0,0,3.93,0,5.89,0.98,0,48.1,1.96,0.98,22.58,12.76,0,6.87,7.85,3.93,0,0.98,0,0,0,452.55,0.98,11.78,40.25,134.49,0.98,0.98,3.93,0,1.96,4.91,0,0,0,0,0,8.83,5.89,127.62,4.91,0
 84-94,0,0,1.06,0,5.31,1.06,0,63.72,5.31,1.06,14.87,6.37,0,2.12,4.25,8.5,0,5.31,1.06,2.12,0,293.12,1.06,16.99,20.18,77.53,0,1.06,7.43,0,3.19,8.5,1.06,0,0,0,0,4.25,10.62,92.4,11.68,0
 96-106,0,0,1.09,0,15.3,3.28,0,50.27,4.37,1.09,12.02,16.39,0,0,3.28,12.02,0,4.37,1.09,3.28,0,307.09,2.19,9.84,13.11,75.41,0,0,17.49,0,1.09,12.02,0,0,0,1.09,0,6.56,9.84,92.89,14.21,0
108-118,0,0,0,0.77,7.66,0.77,0.77,42.13,3.06,2.3,17.62,13.79,0,0,2.3,12.26,0.77,9.96,0,0.77,0,246.64,3.06,11.49,19.92,104.94,0.77,2.3,8.43,0,3.83,3.06,0,0,0.77,1.53,0,2.3,6.89,69.7,8.43,0
120,0,0,1.96,0,9.8,0,0,54.87,5.88,1.96,17.64,3.92,1.96,0,7.84,5.88,1.96,7.84,0,1.96,0,174.42,1.96,5.88,23.52,86.23,1.96,1.96,9.8,0,0,0,0,0,0,0,0,5.88,3.92,72.51,19.6,0
