stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,685.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,18.39,416.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,1,15,1,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,2,4,0,0,1,0,0
 24-34,0,0,0,18.06,0,0,10.67,0,1.64,0.82,4.93,1.64,0.82,67.31,4.1,0,0,0,0,9.03,0,0,4.93,64.03,3.28,0,1.64,0,0,9.03,1.64,0.82,4.93,18.06,0,0,5.75,0,0
 36-46,0,0,0,13.7,0,0,9.67,0.81,4.03,2.42,11.28,0,1.61,78.15,1.61,0,0,0,0,23.36,0.81,0.81,6.45,43.51,13.7,1.61,0.81,0,0,10.47,4.03,0.81,0,10.47,0,0,3.22,0,0
 48-58,0,0,0,10.9,0,0,9.75,0.57,6.89,1.15,12.62,0,3.44,71.15,1.72,0,0.57,0,0.57,31.56,1.15,0,4.59,23.53,7.46,0,1.15,0,0.57,6.89,2.3,0,0,22.95,0,0,6.31,0,0.57
 60-70,0,0,0,22.58,1.96,0,22.58,0,6.87,0,40.24,0.98,0,70.67,3.93,0.98,0.98,0.98,0.98,40.24,1.96,0,2.94,17.67,2.94,0,0.98,0,0,17.67,1.96,1.96,0,8.83,0.98,0.98,5.89,0,0.98
 72-82,0,0,0,12.76,1.96,0,22.58,0,2.94,2.94,41.23,2.94,0.98,62.83,15.71,0.98,0,0.98,0,87.37,1.96,1.96,6.87,18.65,3.93,0,2.94,0,0.98,13.74,0,0,0,5.89,0.98,1.96,17.67,0.98,0
 84-94,0,0,1.06,28.68,5.31,0,20.18,1.06,5.31,2.12,32.92,14.87,1.06,79.65,21.24,2.12,1.06,0,0,46.73,5.31,2.12,4.25,25.49,8.5,1.06,2.12,0,0,37.17,3.19,1.06,0,6.37,2.12,1.06,10.62,5.31,1.06
 96-106,0,0,0,31.69,6.56,1.09,18.58,2.19,3.28,1.09,40.44,9.84,6.56,85.24,18.58,0,4.37,1.09,2.19,51.36,5.46,4.37,3.28,18.58,9.84,4.37,8.74,0,0,28.41,6.56,2.19,0,7.65,2.19,1.09,14.21,3.28,2.19
108-118,0,0,0,39.06,3.83,0,13.79,0.77,6.13,3.83,27.57,12.26,1.53,58.98,16.85,3.06,1.53,0.77,0,39.06,1.53,4.6,6.13,18.38,7.66,0.77,9.96,0,0.77,20.68,0.77,2.3,0,3.83,7.66,0,12.26,0.77,0.77
120,1.96,0,1.96,31.36,1.96,0,15.68,0,7.84,3.92,27.44,15.68,1.96,107.79,15.68,3.92,0,0,0,31.36,3.92,0,3.92,23.52,7.84,1.96,5.88,0,0,17.64,3.92,0,0,1.96,9.8,1.96,5.88,0,1.96
