stage,axial,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,632.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,588.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,24.52,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,5.26,0,0,0,15.77,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,73.6,2.63,0,0,7.89,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,9.44,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,50.35,3.15,0,0,31.47,0,3.15,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,1,1,0,0,0,0,0,2,0,0,5,2,0,0,0,0
 24-34,0,0,1.64,0,0,9.85,0,0,0,0,0,0,0,0,2.46,0,0,0,0.82,4.1,0,2.46,34.48,0.82,0,0.82,0,0,4.93,0,0,0.82,3.28,1.64,14.78,0,1.64,0,0
 36-46,0,0,1.61,0,0,31.42,1.61,0,0,1.61,0,0,0,0,0.81,0.81,0,0,0,3.22,0,1.61,53.17,0,0,0.81,0,0,1.61,0.81,0,0,0.81,0,31.42,0,0.81,0,1.61
 48-58,0,0,1.15,0,0,33.28,0.57,0,0.57,2.3,1.15,0,0,0.57,0,0,0.57,0.57,0.57,9.18,0.57,4.59,61.97,0,0,0.57,0,0,0.57,0,0,0.57,1.15,0,13.2,0,0.57,0,0.57
 60-70,0,0,1.96,0,0,76.56,1.96,0,1.96,21.59,0,0,0.98,0.98,0.98,0.98,0.98,3.93,1.96,15.7,0.98,0.98,130.54,1.96,0,1.96,0,0,1.96,0,0,0.98,3.93,0,25.52,0,0,0.98,3.93
 72-82,0,0,5.89,0,0,55.95,0.98,0.98,0,16.69,0.98,0,0,1.96,0,0,1.96,0.98,0,16.69,1.96,2.94,113.87,0,0,4.91,0,0,2.94,0,0,0.98,1.96,0,11.78,0.98,0.98,0,0.98
 84-94,0,0,8.5,1.06,0,38.23,0,2.12,2.12,13.81,1.06,0,0,3.19,5.31,0,1.06,5.31,0,10.62,1.06,3.19,49.92,0,0,3.19,0,0,6.37,0,0,3.19,2.12,0,6.37,0,2.12,2.12,1.06
 96-106,0,0,7.65,0,0,19.67,0,0,2.19,8.74,3.28,0,1.09,3.28,4.37,0,0,4.37,0,9.84,1.09,1.09,32.79,0,0,0,0,0,6.56,0,0,2.19,1.09,0,1.09,0,1.09,0,0
108-118,0,0,8.43,0,1.53,13.79,1.53,0,0.77,9.96,0.77,0,0,2.3,2.3,0.77,0,3.06,0,9.96,0,2.3,49.79,1.53,0.77,3.06,0,0.77,6.13,0,0,2.3,6.89,0,1.53,0.77,0,0,0
120,0,0,17.64,0,0,33.32,0,0,0,9.8,0,0,0,0,3.92,1.96,0,7.84,1.96,13.72,1.96,9.8,82.31,1.96,1.96,0,0,0,0,0,0,0,3.92,0,3.92,0,7.84,1.96,0
