stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,79.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,10.51,0,0,152.47,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,297.04,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0
 10-12,0,22.03,44.06,0,0,431.13,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,1271.38,15.73,0,0,37.76,0,0,3.15,0,3.15,0,0,0,0,0
 14-21,0,0,2,9,2,10,0,0,0,124,0,0,0,0,0,0,0,0,3,0,7,616,2,0,0,2,0,3,1,1,3,440,0,0,0,0
 24-34,0,0,0.82,3.28,0,9.85,0,0.82,0,125.59,0.82,0.82,0,0,0.82,0.82,0.82,1.64,12.31,0,22.16,503.18,0.82,1.64,0,0,3.28,0,0,0,1.64,387.44,0,2.46,0,0.82
 36-46,0,0,0,0,0,8.86,0,0,3.22,92.65,0,0,0.81,0,0,0.81,0.81,0,9.67,0,28.2,240.9,0.81,0.81,0,0,0.81,0,0,0,0,261.04,0,0.81,0,0.81
 48-58,0,0,0,1.15,0,4.59,0.57,0,2.3,63.12,0,0,0,0,0.57,0,0,0,9.75,0,8.03,60.82,0,0,0,0,0.57,0,0,0,0,61.97,0,0,0,0.57
 60-70,0,0,0,0,0,0.98,0,0,2.94,25.52,0,0,0,0,0,0,0,0,9.82,0,7.85,20.61,0,0,0,0,0,0,0,0,0,11.78,0,0,0,0
 72-82,0,0,0,3.93,0,5.89,0,0,1.96,40.25,0,0,0,0,0.98,0,0,0,17.67,0,1.96,17.67,0,0,0,0,0,0,0,0,0,6.87,0.98,0.98,0,0
 84-94,0,0,0,6.37,0,3.19,0,0,3.19,20.18,1.06,0,0,0,1.06,0,0,0,14.87,0,1.06,16.99,0,0,0,0,1.06,0,0,0,0,8.5,2.12,0,1.06,0
 96-106,0,0,0,9.84,0,6.56,0,0,2.19,12.02,2.19,0,0,0,5.46,0,0,0,16.39,1.09,2.19,13.11,0,0,1.09,0,0,0,1.09,0,0,4.37,6.56,0,0,0
108-118,0,0,0,6.89,0,2.3,0,0,2.3,17.62,0.77,0,0,1.53,2.3,0.77,0,0,26.04,0,5.36,7.66,0,0,0,0,0,0,0,0,0,2.3,3.83,0,0,0
120,0,0,0,7.84,0,3.92,0,0,0,9.8,0,0,0,0,0,0,0,0,13.72,0,0,7.84,0,0,0,0,0,0,0,0,0,0,7.84,0,0,0
