stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,ionocyte,iridophores,mesenchyme,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0.82,0,0,0,0,0,0,0,0,3.28,0,0.82,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,5.64,0,0,0,0,0,0,0,0.81,4.83,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,40.74,0,0,0,0,0,0.57,0.57,0,5.16,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0.98,0,377.89,0,0.98,0,2.94,0,0,0,1.96,12.76,0,0,0,0,0,0,3.93,0,0,0,0
 72-82,0,0.98,2.94,1.96,669.49,0.98,0,1.96,17.67,0.98,0,0,6.87,31.41,0,0.98,0.98,0,1.96,0,0.98,0,0,0.98,0.98
 84-94,0,0,4.25,1.06,367.46,0,0,0,18.05,0,2.12,1.06,2.12,21.24,1.06,0,1.06,1.06,4.25,0,2.12,0,2.12,0,0
 96-106,0,0,3.28,1.09,354.08,0,0,0,10.93,0,0,0,9.84,22.95,0,0,1.09,0,7.65,0,0,0,0,1.09,0
108-118,0,0,3.83,0,245.87,0,0,0,6.89,0.77,2.3,0.77,2.3,10.72,0.77,0,0,0,3.83,0.77,0.77,0.77,0,0,0
120,0,0,3.92,0,133.27,1.96,0,0,11.76,0,0,0,1.96,19.6,0,0,0,0,0,0,0,0,0,0,0
