stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,7.89,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.98,0,0,0,18.4,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.97,6.29,0,0,6.29,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,4,0,0,0,3,0,1,0,0,0,0,0,1,2,0,0,1,172,0,0,1,0,0,0,0,0,0,91,0,0,0,0,0
 24-34,0,0,0,0,0.82,0,0,6.57,0,0,0,3.28,0,0,0,0,0,0,0,0,0.82,0,0,0.82,464.6,0.82,1.64,0.82,0,0,0.82,0,0,0,119.02,0,0,0,0,0
 36-46,0,0,0,0,1.61,0,0,39.48,0,0,0.81,6.45,0,0,0,0,0,0,0,0,8.06,0,0,0,1455.84,0.81,4.83,0.81,0,0,0.81,0,0,0,229.62,0,0,2.42,0,0
 48-58,0,0,0,0,3.44,1.15,0,354.61,0.57,0,0.57,24.1,0,0,0,0,0,0.57,0,1.15,10.33,0,1.15,1.72,2194.8,0.57,2.3,0.57,0,0,2.87,0,0,0,254.2,0,0,1.15,0,0.57
 60-70,0,0,0.98,0,7.85,0.98,0,1148.38,0,1.96,0,63.8,0.98,0,0.98,0,0.98,0,0,0,31.41,0.98,0,1.96,3807.32,0.98,3.93,0,0,0,1.96,0,0,0.98,334.7,0,0,0.98,0,6.87
 72-82,0,0,1.96,0,28.47,3.93,0,1301.68,0.98,0.98,1.96,133.51,0.98,0,5.89,0,4.91,1.96,0,0,79.51,0,9.82,3.93,3586.01,0,0.98,1.96,0,0.98,2.94,0,0.98,0,186.52,1.96,3.93,5.89,1.96,1.96
 84-94,0,0,0,0,40.36,1.06,0,703.07,1.06,1.06,1.06,100.89,0,0,3.19,1.06,6.37,1.06,0,0,63.72,1.06,6.37,2.12,1755.55,0,1.06,2.12,0,0,8.5,0,1.06,1.06,114.7,0,2.12,2.12,3.19,3.19
 96-106,0,0,1.09,0,24.04,4.37,0,489.6,0,3.28,1.09,112.56,0,2.19,1.09,0,7.65,1.09,1.09,0,59.01,3.28,4.37,5.46,1481.9,0,1.09,1.09,0,0,4.37,0,0,0,52.46,2.19,7.65,1.09,6.56,0
108-118,0,0,0,0,18.38,3.83,0.77,361.53,0,0.77,0.77,69.7,3.83,0,2.3,0,4.6,0,1.53,0.77,49.79,0,3.83,1.53,1633.8,0.77,2.3,2.3,0,0.77,2.3,0,0,0,36.77,0.77,0.77,3.06,2.3,0.77
120,0,0,0,0,11.76,1.96,0,337.08,0,0,3.92,78.39,1.96,0,0,0,7.84,0,0,0,54.87,0,7.84,11.76,1687.38,1.96,3.92,1.96,0,3.92,5.88,0,1.96,0,35.28,0,0,1.96,0,1.96
