stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,6.29,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,1,146,0,0,0,0,0,0,58,0,0,0,0,0
 24-34,0,0,0,0,0.82,0.82,8.21,0,0,0,43.51,0,0,0,0.82,0,0,1.64,0,7.39,0,0.82,2094,0,1.64,0,3.28,0.82,0.82,508.93,0,0,1.64,0,0.82
 36-46,0,0,0,0,2.42,0.81,27.39,0,1.61,0,303.74,0,0.81,0.81,0.81,0,0,0,0.81,8.06,0,2.42,3221.87,0.81,1.61,2.42,2.42,0,0,1243.95,0,0.81,1.61,0,0
 48-58,0,0,0,0,6.31,0,77.46,0.57,1.15,0,502.65,0,0,1.15,0.57,0,0.57,0,0,14.35,0.57,2.87,1376.56,0,1.15,0.57,1.15,0,0,899.15,0,0,1.15,0,1.15
 60-70,0,0,0,0,2.94,0,56.93,0,0.98,0.98,486.83,0,0.98,0,0,0,0,0,0,12.76,0,0,876.5,0.98,0,2.94,1.96,0,0,336.66,0,0,0,0,4.91
 72-82,0,0,0,0,2.94,1.96,65.77,0,1.96,0,467.27,0,0,0.98,0,0,0,0,0.98,21.6,0,2.94,531.08,0,0,2.94,1.96,0,0,90.31,0,0.98,3.93,0,0.98
 84-94,0,0,1.06,0,6.37,1.06,67.97,0,0,1.06,300.56,0,0,0,0,0,0,0,1.06,11.68,1.06,1.06,270.82,1.06,0,0,0,0,0,76.47,0,0,1.06,2.12,0
 96-106,0,0,0,0,6.56,2.19,34.97,0,0,1.09,250.26,0,0,0,1.09,0,0,2.19,1.09,8.74,0,2.19,220.76,1.09,0,1.09,3.28,0,0,27.32,2.19,0,0,0,1.09
108-118,0,0,0,0,2.3,0.77,20.68,0,0,0,214.47,0.77,0,0,0.77,0.77,0,0.77,0,9.96,0,0,278.81,0,0,3.83,0,0,0,17.62,0,0,0.77,0,0
120,0,0,0,0,3.92,0,17.64,0,0,3.92,260.65,0,0,0,0,0,0,0,0,7.84,1.96,1.96,337.08,0,0,7.84,1.96,0,0,37.24,0,0,1.96,0,0
