stage,axial,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,0,113,0,0,0,0,0,0,3,0,14,0,0,0,0,43,0,0,25,10,14,0,0,0,0,0,1,1,1,0,1,0,0,49,0,0
 24-34,0,0,3.28,10.67,0,0,0,9.03,0,0,2.46,5.75,27.91,0,0.82,0,0.82,291.4,0,0.82,149.4,30.37,2.46,0,0,0,0,0.82,0.82,0,0,6.57,3.28,0,0,188.8,0,0
 36-46,0,0,2.42,2.42,5.64,0,0.81,20.95,0,0,0.81,1.61,26.59,0,0,0,0,385.92,0,4.03,120.04,20.95,0.81,0.81,0,0,0,0,0.81,0,0,0,1.61,0,1.61,87.01,0,0
 48-58,0,0,0.57,0.57,8.61,0,0.57,25.25,1.72,0,0,6.89,37.3,0,0,0,0,465.93,0,9.75,84.35,29.26,0,0,0,0,0.57,0.57,0,0,0,0,5.74,0,0.57,75.17,0,0
 60-70,0,0,1.96,2.94,9.82,0,0.98,18.65,2.94,0,0,3.93,33.37,0,0,0,0,605.6,0,15.7,62.82,27.48,0,0,0,0,1.96,0.98,0,0,0,0,1.96,0,8.83,64.78,6.87,0
 72-82,0,0,0.98,0,23.56,0,0,36.32,2.94,0.98,0,5.89,79.51,0.98,0,0.98,0,791.22,0,24.54,67.73,27.49,0,0,0.98,0,1.96,0.98,0,0,0,0,0,0,14.72,117.8,23.56,0.98
 84-94,0,0,2.12,3.19,43.54,0,1.06,23.36,3.19,0,0,2.12,99.83,0,1.06,0,0,472.61,0,28.68,53.1,20.18,0,0,0,0,3.19,0,0,0,0,0,3.19,0,12.74,92.4,18.05,1.06
 96-106,1.09,0,0,3.28,14.21,1.09,1.09,15.3,4.37,0,0,10.93,121.31,0,0,0,1.09,343.15,1.09,16.39,28.41,43.71,0,1.09,0,0,6.56,2.19,0,0,0,0,2.19,1.09,8.74,90.71,15.3,0
108-118,0,0,1.53,0.77,6.89,0,0,16.09,1.53,0.77,0,5.36,76.6,0,0,0,0,322.47,0,9.96,22.21,22.21,2.3,0,0,0,3.83,0,0,0,0,0,0,0,6.13,73.53,15.32,0
120,0,0,3.92,1.96,17.64,0,0,21.56,1.96,0,0,3.92,101.91,0,0,0,0,292.01,0,21.56,19.6,17.64,0,1.96,5.88,0,3.92,1.96,0,0,0,0,0,0,3.92,92.11,17.64,0
