stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,13.18,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,429.07,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,6.13,0,24.52,0,0,0,0,0,0,0,0,0,0
  7-9,10.51,44.69,63.09,0,0,0,118.29,0,0,0,0,0,23.66,0,0,0,0,0,0,0,0,0,0,0,980.51,18.4,0,0,349.62,0,10.51,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,18.88,50.35,0,9.44,0,91.26,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,522.4,18.88,0,0,113.29,0,3.15,0,0,9.44,0,0,0,0,0,0,0
 14-21,0,1,2,15,106,0,21,0,0,0,8,3,0,8,1,2,0,0,0,0,22,0,0,12,182,2,0,3,10,0,1,0,11,0,3,15,80,0,0,33,0
 24-34,0,0,0.82,12.31,4.1,0,15.6,0,6.57,1.64,8.21,0.82,0,17.24,0,0,0,0,0,0,53.36,0,0,13.95,109.99,0.82,0.82,2.46,0,0,0,0,0,0.82,1.64,2.46,39.4,0,0,115.74,0
 36-46,0,0,0,0,0,0,3.22,0,1.61,6.45,26.59,0,0,12.09,0,0,0,0.81,0,0.81,92.65,0,0,5.64,60.43,0,0.81,0.81,0,0,0.81,0,0,0,0,0,24.98,0,0,51.56,0
 48-58,0,0.57,0,1.72,1.15,0,5.16,0,3.44,13.77,22.38,0,0,10.9,0,0,0,0,0,0,140.58,0,0.57,8.61,30.99,0,0,1.72,0,0,0,0,0,0.57,0,0,19.51,0,0.57,35,0
 60-70,0,0,0,3.93,0,0,6.87,0,0,11.78,7.85,0,0,2.94,0,0,0,0,0,0,213.97,0,0,7.85,24.54,0,0.98,0.98,0,0.98,0,0,0,1.96,0,0,0,0,10.8,19.63,0
 72-82,0,0,0,2.94,0,0,28.47,0,0.98,22.58,16.69,0,0,8.83,0,1.96,0,0,0,0,571.33,0.98,1.96,23.56,28.47,0,0,0.98,0,0.98,0,0,0,0.98,0,0,3.93,0,26.5,50.06,7.85
 84-94,0,0,0,5.31,0,1.06,30.8,2.12,0,11.68,10.62,0,0,5.31,0,2.12,0,0,1.06,0,322.86,0,5.31,12.74,5.31,0,2.12,0,0,1.06,1.06,0,0,6.37,0,0,3.19,0,22.3,44.61,6.37
 96-106,0,0,0,5.46,0,0,30.6,1.09,0,19.67,5.46,0,0,20.76,2.19,1.09,1.09,0,0,1.09,428.4,1.09,3.28,10.93,42.62,0,0,7.65,0,1.09,2.19,0,0,1.09,0,0,1.09,1.09,21.86,50.27,7.65
108-118,0,0,0,7.66,0.77,0,15.32,0,0.77,7.66,3.83,0,0,3.83,1.53,2.3,0,0,0,0,418.98,0,3.06,6.89,28.34,0,0,3.83,0,2.3,0.77,0,0,2.3,0,0,0,0,19.15,33.7,8.43
120,0,0,0,3.92,0,0,15.68,0,0,3.92,3.92,0,0,1.96,3.92,0,0,0,0,0,368.44,0,5.88,3.92,15.68,0,0,1.96,0,0,1.96,0,0,0,0,0,0,0,3.92,50.95,1.96
