stage,blastomeres,epidermis,erythrocytes,eye,glial,mesenchyme,neural,notochord,olfactory,paraxial.mesoderm,spinal.cord
  3-4,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.15,0
 14-21,0,0,0,0,0,0,3,0,0,0,0
 24-34,0,0,0,0,0,0,15.6,0,0.82,0,4.1
 36-46,0,0,0,1.61,0,0,28.2,0.81,1.61,0,6.45
 48-58,0,0,0,1.72,0,0,32.71,0,0.57,0,2.3
 60-70,0,0,0,7.85,0,0.98,51.04,0,0.98,0,9.82
 72-82,0,0,0,12.76,1.96,0.98,42.21,0,2.94,0,5.89
 84-94,0,0,0,4.25,1.06,0,26.55,0,1.06,0,2.12
 96-106,0,0,0,15.3,4.37,3.28,20.76,0,1.09,0,4.37
108-118,0,1.53,0.77,13.79,0.77,0,32.94,0,2.3,0,0.77
120,0,1.96,0,7.84,0,0,31.36,0,1.96,0,0
